Subject,Predicate W/ Prepositions,Object Subtree,Object,Predicate,Sentence,Parse Tree
soul,is ,the stars,stars,is,"the SOUL is of the elements derived through the stars , is the seat of understanding , and","[('The', 'det', 'DET', []), ('soul', 'nsubj', 'NOUN', [The]), ('is', 'ccomp', 'VERB', [soul, of]), ('of', 'prep', 'ADP', [elements]), ('the', 'det', 'DET', []), ('elements', 'pobj', 'NOUN', [the, derived]), ('derived', 'acl', 'VERB', [through]), ('through', 'prep', 'ADP', [stars]), ('the', 'det', 'DET', []), ('stars', 'pobj', 'NOUN', [the]), (',', 'punct', 'PUNCT', []), ('is', 'ROOT', 'VERB', [is, ,, seat, ,, and]), ('the', 'det', 'DET', []), ('seat', 'nsubj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [understanding]), ('understanding', 'pobj', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
genius,is ,arts and,arts,is,is the GENIUS for arts and,"[('is', 'ROOT', 'VERB', [genius]), ('the', 'det', 'DET', []), ('genius', 'nsubj', 'NOUN', [the, for]), ('for', 'prep', 'ADP', [arts]), ('arts', 'pobj', 'NOUN', [and]), ('and', 'cc', 'CCONJ', [])]"
spirit,is from,God,God,is,the rational SPIRIT is from god and,"[('The', 'det', 'DET', []), ('rational', 'amod', 'ADJ', []), ('spirit', 'nsubj', 'NOUN', [The, rational]), ('is', 'ROOT', 'VERB', [spirit, from, and]), ('from', 'prep', 'ADP', [God]), ('God', 'pobj', 'PROPN', []), ('and', 'cc', 'CCONJ', [])]"
inspiration,is ,which,which,is,is the medium through which divine INSPIRATION enters the physical body .,"[('is', 'ROOT', 'VERB', [medium, .]), ('the', 'det', 'DET', []), ('medium', 'attr', 'NOUN', [the, enters]), ('through', 'prep', 'ADP', [which]), ('which', 'pobj', 'ADJ', []), ('divine', 'amod', 'ADJ', []), ('inspiration', 'nsubj', 'NOUN', [divine]), ('enters', 'relcl', 'VERB', [through, inspiration, body]), ('the', 'det', 'DET', []), ('physical', 'amod', 'ADJ', []), ('body', 'dobj', 'NOUN', [the, physical]), ('.', 'punct', 'PUNCT', [])]"
It,is ,possible,possible,is,it is not possible to cure certain diseases by which god has chosen to afﬂict humankind .,"[('It', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [It, not, possible, cure, .]), ('not', 'neg', 'ADV', []), ('possible', 'acomp', 'ADJ', []), ('to', 'aux', 'PART', []), ('cure', 'xcomp', 'VERB', [to, diseases]), ('certain', 'amod', 'ADJ', []), ('diseases', 'dobj', 'NOUN', [certain, chosen]), ('by', 'prep', 'ADP', [which]), ('which', 'pobj', 'ADJ', []), ('God', 'nsubj', 'PROPN', []), ('has', 'aux', 'VERB', []), ('chosen', 'relcl', 'VERB', [by, God, has, afﬂict]), ('to', 'aux', 'ADP', []), ('afﬂict', 'xcomp', 'NOUN', [to, humankind]), ('humankind', 'dobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
stone,are ,useless,useless,are,philosopher ’s STONE are all useless .,"[('philosopher', 'poss', 'NOUN', [’s]), ('’s', 'case', 'PART', []), ('stone', 'nsubj', 'NOUN', [philosopher]), ('are', 'ROOT', 'VERB', [stone, all, useless, .]), ('all', 'advmod', 'ADV', []), ('useless', 'acomp', 'ADJ', []), ('.', 'punct', 'PUNCT', [])]"
grimoire,is ,a composite work of,work,is,the GRIMOIRE is a composite work of white and,"[('The', 'det', 'DET', []), ('grimoire', 'nsubj', 'NOUN', [The]), ('is', 'ROOT', 'VERB', [grimoire, work, white]), ('a', 'det', 'DET', []), ('composite', 'amod', 'ADJ', []), ('work', 'attr', 'NOUN', [a, composite, of]), ('of', 'prep', 'ADP', []), ('white', 'punct', 'ADJ', [and]), ('and', 'cc', 'CCONJ', [])]"
Material,appear in,it,it,appear,material from it appear in various grimoires .  ,"[('Material', 'nsubj', 'NOUN', [from]), ('from', 'prep', 'ADP', [it]), ('it', 'pobj', 'PRON', []), ('appear', 'ROOT', 'VERB', [Material, in, .]), ('in', 'prep', 'ADP', [grimoires]), ('various', 'amod', 'ADJ', []), ('grimoires', 'pobj', 'NOUN', [various]), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
Charlemagne,been ,literate,literate,been,"charlemagne may not have been literate , and","[('Charlemagne', 'nsubj', 'PROPN', []), ('may', 'aux', 'VERB', []), ('not', 'neg', 'ADV', []), ('have', 'aux', 'VERB', []), ('been', 'ROOT', 'VERB', [Charlemagne, may, not, have, literate, ,, and]), ('literate', 'acomp', 'ADJ', []), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
letters,are ,his,his,are,no LETTERS of his are extant .  ,"[('no', 'det', 'DET', []), ('letters', 'nsubj', 'NOUN', [no, of]), ('of', 'prep', 'ADP', [his]), ('his', 'pobj', 'ADJ', []), ('are', 'ROOT', 'VERB', [letters, extant, .]), ('extant', 'acomp', 'ADJ', []), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
they,are ,nature,nature,are,"few are spiritual in nature ; THEY are instead concerned with material things such as acquiring wealth , happiness , and","[('few', 'nsubj', 'ADJ', []), ('are', 'ccomp', 'VERB', [few, spiritual]), ('spiritual', 'acomp', 'ADJ', [in]), ('in', 'prep', 'ADP', [nature]), ('nature', 'pobj', 'NOUN', []), (';', 'punct', 'PUNCT', []), ('they', 'nsubj', 'PRON', []), ('are', 'ROOT', 'VERB', [are, ;, they, instead, concerned]), ('instead', 'advmod', 'ADV', []), ('concerned', 'acomp', 'VERB', [with]), ('with', 'prep', 'ADP', [things]), ('material', 'amod', 'ADJ', []), ('things', 'pobj', 'NOUN', [material, as]), ('such', 'amod', 'ADJ', []), ('as', 'prep', 'ADP', [such, acquiring]), ('acquiring', 'pcomp', 'VERB', [wealth]), ('wealth', 'dobj', 'NOUN', [,, happiness]), (',', 'punct', 'PUNCT', []), ('happiness', 'conj', 'NOUN', [,, and]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
It,carried on,the person,person,carried,"it must be carried on the person , and","[('It', 'nsubjpass', 'PRON', []), ('must', 'aux', 'VERB', []), ('be', 'auxpass', 'VERB', []), ('carried', 'ROOT', 'VERB', [It, must, be, on, ,, and]), ('on', 'prep', 'ADP', [person]), ('the', 'det', 'DET', []), ('person', 'pobj', 'NOUN', [the]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
Charlemagne,is ,what,what,is,"kneel , for this , claims the enchiridion , is what charlemagne did .  ","[('kneel', 'advcl', 'VERB', []), (',', 'punct', 'PUNCT', []), ('for', 'prep', 'ADP', [this]), ('this', 'pobj', 'DET', []), (',', 'punct', 'PUNCT', []), ('claims', 'ccomp', 'VERB', [kneel, ,, for, ,, Enchiridion]), ('the', 'det', 'DET', []), ('Enchiridion', 'dobj', 'NOUN', [the]), (',', 'punct', 'PUNCT', []), ('is', 'ROOT', 'VERB', [claims, ,, did, .]), ('what', 'dobj', 'NOUN', []), ('Charlemagne', 'nsubj', 'PROPN', []), ('did', 'ccomp', 'VERB', [what, Charlemagne]), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
book,was ,a major inﬂuence in the 19th - century occult revival led by the Hermetic Order of the Golden Dawn,inﬂuence,was,the BOOK was a major inﬂuence in the 19th - century occult revival led by the hermetic order of the golden dawn .,"[('The', 'det', 'DET', []), ('book', 'nsubj', 'NOUN', [The]), ('was', 'ROOT', 'VERB', [book, inﬂuence, .]), ('a', 'det', 'DET', []), ('major', 'amod', 'ADJ', []), ('inﬂuence', 'attr', 'NOUN', [a, major, in]), ('in', 'prep', 'ADP', [revival]), ('the', 'det', 'DET', []), ('19th', 'amod', 'ADJ', []), ('-', 'punct', 'PUNCT', []), ('century', 'nmod', 'NOUN', [19th, -]), ('occult', 'amod', 'ADJ', []), ('revival', 'pobj', 'NOUN', [the, century, occult, led]), ('led', 'acl', 'VERB', [by]), ('by', 'agent', 'ADP', [Order]), ('the', 'det', 'DET', []), ('Hermetic', 'amod', 'ADJ', []), ('Order', 'pobj', 'NOUN', [the, Hermetic, of]), ('of', 'prep', 'ADP', [Dawn]), ('the', 'det', 'DET', []), ('Golden', 'compound', 'PROPN', []), ('Dawn', 'pobj', 'PROPN', [the, Golden]), ('.', 'punct', 'PUNCT', [])]"
sigils,are ,elaborate,elaborate,are,SIGILS are elaborate and,"[('sigils', 'nsubj', 'NOUN', []), ('are', 'ROOT', 'VERB', [sigils, elaborate, and]), ('elaborate', 'acomp', 'ADJ', []), ('and', 'cc', 'CCONJ', [])]"
Magic,is ,a goetic adaptation of the Key of Solomon,adaptation,is,true black magic is a goetic adaptation of the key of solomon .,"[('True', 'compound', 'ADJ', []), ('Black', 'compound', 'PROPN', []), ('Magic', 'nsubj', 'PROPN', [True, Black]), ('is', 'ROOT', 'VERB', [Magic, adaptation, .]), ('a', 'det', 'DET', []), ('goetic', 'amod', 'ADJ', []), ('adaptation', 'attr', 'NOUN', [a, goetic, of]), ('of', 'prep', 'ADP', [Key]), ('the', 'det', 'DET', []), ('Key', 'pobj', 'PROPN', [the, of]), ('of', 'prep', 'ADP', [Solomon]), ('Solomon', 'pobj', 'PROPN', []), ('.', 'punct', 'PUNCT', [])]"
Pullet,is ,one of the few grimoires that do not claim to be manuscripts of antiquity,one,is,pullet is one of the few grimoires that do not claim to be manuscripts of antiquity .,"[('Pullet', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [Pullet, one, .]), ('one', 'attr', 'NUM', [of]), ('of', 'prep', 'ADP', [grimoires]), ('the', 'det', 'DET', []), ('few', 'amod', 'ADJ', []), ('grimoires', 'pobj', 'NOUN', [the, few, claim]), ('that', 'nsubj', 'ADJ', []), ('do', 'aux', 'VERB', []), ('not', 'neg', 'ADV', []), ('claim', 'relcl', 'VERB', [that, do, not, be]), ('to', 'aux', 'PART', []), ('be', 'xcomp', 'VERB', [to, manuscripts]), ('manuscripts', 'attr', 'NOUN', [of]), ('of', 'prep', 'ADP', [antiquity]), ('antiquity', 'pobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
It,appeared in,altered versions as Treasure of the Old Man of the Pyramids and,versions,appeared,it has appeared in altered versions as treasure of the old man of the pyramids and,"[('It', 'nsubj', 'PRON', []), ('has', 'aux', 'VERB', []), ('appeared', 'ROOT', 'VERB', [It, has, in]), ('in', 'prep', 'ADP', [versions]), ('altered', 'amod', 'ADJ', []), ('versions', 'pobj', 'NOUN', [altered, as]), ('as', 'prep', 'ADP', [Treasure]), ('Treasure', 'pobj', 'PROPN', [of]), ('of', 'prep', 'ADP', [Man]), ('the', 'det', 'DET', []), ('Old', 'compound', 'PROPN', []), ('Man', 'pobj', 'PROPN', [the, Old, of]), ('of', 'prep', 'ADP', [Pyramids]), ('the', 'det', 'DET', []), ('Pyramids', 'pobj', 'PROPN', [the, and]), ('and', 'cc', 'CCONJ', [])]"
title,was ,the grimoire,grimoire,was,"ambitiousfrench TITLE of the grimoire was the black pullet , or","[('ambitiousFrench', 'compound', 'NOUN', []), ('title', 'nsubj', 'NOUN', [ambitiousFrench, of]), ('of', 'prep', 'ADP', [grimoire]), ('the', 'det', 'DET', []), ('grimoire', 'pobj', 'NOUN', [the]), ('was', 'ROOT', 'VERB', [title, Pullet]), ('The', 'det', 'DET', []), ('Black', 'compound', 'PROPN', []), ('Pullet', 'attr', 'PROPN', [The, Black, ,, or]), (',', 'punct', 'PUNCT', []), ('or', 'cc', 'CCONJ', [])]"
talismans,are in,The Black Pullet,Pullet,are,"the TALISMANS of the black pullet are , in more modern times , embroidered onto silk but","[('The', 'det', 'DET', []), ('talismans', 'nsubj', 'NOUN', [The, of]), ('of', 'prep', 'ADP', [Pullet]), ('The', 'det', 'DET', []), ('Black', 'compound', 'PROPN', []), ('Pullet', 'pobj', 'PROPN', [The, Black]), ('are', 'ROOT', 'VERB', [talismans, ,, in, ,, embroidered]), (',', 'punct', 'PUNCT', []), ('in', 'prep', 'ADP', [times]), ('more', 'advmod', 'ADJ', []), ('modern', 'amod', 'ADJ', [more]), ('times', 'pobj', 'NOUN', [modern]), (',', 'punct', 'PUNCT', []), ('embroidered', 'acomp', 'VERB', [onto, but]), ('onto', 'prep', 'ADP', [silk]), ('silk', 'pobj', 'NOUN', []), ('but', 'cc', 'CCONJ', [])]"
evocation,is ,Odous,Odous,is,the EVOCATION for odous is “,"[('The', 'det', 'DET', []), ('evocation', 'nsubj', 'NOUN', [The, for]), ('for', 'prep', 'ADP', [Odous]), ('Odous', 'pobj', 'PROPN', []), ('is', 'ROOT', 'VERB', [evocation, “]), ('“', 'punct', 'ADJ', [])]"
this,is ,1522,1522,is,"reported to date back to 1522 , THIS is nearly identical to the grand grimoire .","[('reported', 'advcl', 'VERB', [to]), ('to', 'prep', 'ADP', [date]), ('date', 'pobj', 'NOUN', [back]), ('back', 'advmod', 'ADV', [to]), ('to', 'prep', 'ADP', [1522]), ('1522', 'pobj', 'NUM', []), (',', 'punct', 'PUNCT', []), ('this', 'nsubj', 'DET', []), ('is', 'ROOT', 'VERB', [reported, ,, this, identical, .]), ('nearly', 'advmod', 'ADV', []), ('identical', 'acomp', 'ADJ', [nearly, to]), ('to', 'prep', 'ADP', [Grimoire]), ('the', 'det', 'DET', []), ('Grand', 'compound', 'PROPN', []), ('Grimoire', 'pobj', 'PROPN', [the, Grand]), ('.', 'punct', 'PUNCT', [])]"
Gusion,is ,HELL,HELL,is,"in hell , gusion is a duke who   appears as a cynocephalus ( xenophilus ) .","[('In', 'prep', 'ADP', [HELL]), ('HELL', 'pobj', 'PROPN', []), (',', 'punct', 'PUNCT', []), ('Gusion', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [In, ,, Gusion, duke, .]), ('a', 'det', 'DET', []), ('duke', 'attr', 'NOUN', [a, appears]), ('who', 'nsubj', 'NOUN', [ ]), (' ', '', 'SPACE', []), ('appears', 'relcl', 'VERB', [who, as]), ('as', 'prep', 'ADP', [cynocephalus]), ('a', 'det', 'DET', []), ('cynocephalus', 'pobj', 'NOUN', [a, (, xenophilus, )]), ('(', 'punct', 'PUNCT', []), ('xenophilus', 'appos', 'PROPN', []), (')', 'punct', 'PUNCT', []), ('.', 'punct', 'PUNCT', [])]"
Hades,is ,the son of the Titans Cronus and,son,is,hades is the son of the titans cronus and,"[('Hades', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [Hades, son]), ('the', 'det', 'DET', []), ('son', 'attr', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [Cronus]), ('the', 'det', 'DET', []), ('Titans', 'compound', 'PROPN', []), ('Cronus', 'pobj', 'PROPN', [the, Titans, and]), ('and', 'cc', 'CCONJ', [])]"
wife,is ,"Persephone , whom he abducted to the underworld",Persephone,is,"hades’ WIFE is persephone , whom he abducted to the underworld .  ","[('Hades’', 'compound', 'PROPN', []), ('wife', 'nsubj', 'NOUN', [Hades’]), ('is', 'ROOT', 'VERB', [wife, Persephone, .]), ('Persephone', 'attr', 'PROPN', [,, abducted]), (',', 'punct', 'PUNCT', []), ('whom', 'dobj', 'NOUN', []), ('he', 'nsubj', 'PRON', []), ('abducted', 'relcl', 'VERB', [whom, he, to]), ('to', 'prep', 'ADP', [underworld]), ('the', 'det', 'DET', []), ('underworld', 'pobj', 'NOUN', [the]), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
Hagenti,is ,a president who rules 33   LEGIONs of DEMONs,president,is,hagenti is a president who rules 33   legions of demons .,"[('Hagenti', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [Hagenti, president, .]), ('a', 'det', 'DET', []), ('president', 'attr', 'NOUN', [a, rules]), ('who', 'nsubj', 'NOUN', []), ('rules', 'relcl', 'VERB', [who, LEGIONs]), ('33', 'nummod', 'NUM', [ ]), (' ', '', 'SPACE', []), ('LEGIONs', 'dobj', 'NOUN', [33, of]), ('of', 'prep', 'ADP', [DEMONs]), ('DEMONs', 'pobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
He,appears in,the shape of a bull with   grifﬁn wings,shape,appears,he appears in the shape of a bull with   grifﬁn wings but,"[('He', 'nsubj', 'PRON', []), ('appears', 'ROOT', 'VERB', [He, in, but]), ('in', 'prep', 'ADP', [shape]), ('the', 'det', 'DET', []), ('shape', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [bull]), ('a', 'det', 'DET', []), ('bull', 'pobj', 'NOUN', [a, with]), ('with', 'prep', 'ADP', [ , wings]), (' ', '', 'SPACE', []), ('grifﬁn', 'compound', 'NOUN', []), ('wings', 'pobj', 'NOUN', [grifﬁn]), ('but', 'cc', 'CCONJ', [])]"
Devil,appeared to including,the ensuing years,years,appeared,"over the ensuing years , the devil appeared to him many times in various grotesque shapes , including that of a dragon with breasts and","[('Over', 'prep', 'ADP', [years]), ('the', 'det', 'DET', []), ('ensuing', 'amod', 'VERB', []), ('years', 'pobj', 'NOUN', [the, ensuing]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('Devil', 'nsubj', 'PROPN', [the]), ('appeared', 'ROOT', 'VERB', [Over, ,, Devil, to, times, ,, including]), ('to', 'prep', 'ADP', [him]), ('him', 'pobj', 'PRON', []), ('many', 'amod', 'ADJ', []), ('times', 'npadvmod', 'NOUN', [many, in]), ('in', 'prep', 'ADP', [shapes]), ('various', 'amod', 'ADJ', []), ('grotesque', 'amod', 'ADJ', []), ('shapes', 'pobj', 'NOUN', [various, grotesque]), (',', 'punct', 'PUNCT', []), ('including', 'prep', 'VERB', [that]), ('that', 'pobj', 'DET', [of]), ('of', 'prep', 'ADP', [dragon]), ('a', 'det', 'DET', []), ('dragon', 'pobj', 'NOUN', [a, with]), ('with', 'prep', 'ADP', [breasts]), ('breasts', 'pobj', 'NOUN', [and]), ('and', 'cc', 'CCONJ', [])]"
number,is ,a nine - year gap between Haizmann ’s pact with the Devil and,gap,is,the NUMBER 9—there is a nine - year gap between haizmann ’s pact with the devil and,"[('The', 'det', 'DET', []), ('number', 'nsubj', 'NOUN', [The, 9—there]), ('9—there', 'advmod', 'NOUN', []), ('is', 'ROOT', 'VERB', [number, gap]), ('a', 'det', 'DET', []), ('nine', 'nummod', 'NUM', []), ('-', 'punct', 'PUNCT', []), ('year', 'compound', 'NOUN', [nine, -]), ('gap', 'attr', 'NOUN', [a, year, between]), ('between', 'prep', 'ADP', [pact]), ('Haizmann', 'poss', 'PROPN', [’s]), ('’s', 'case', 'PART', []), ('pact', 'pobj', 'NOUN', [Haizmann, with]), ('with', 'prep', 'ADP', [Devil]), ('the', 'det', 'DET', []), ('Devil', 'pobj', 'PROPN', [the, and]), ('and', 'cc', 'CCONJ', [])]"
Halpas,is ,HELL,HELL,is,"in hell , halpas is an earl who appears  ","[('In', 'prep', 'ADP', [HELL]), ('HELL', 'pobj', 'PROPN', []), (',', 'punct', 'PUNCT', []), ('Halpas', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [In, ,, Halpas, earl]), ('an', 'det', 'DET', []), ('earl', 'attr', 'NOUN', [an, appears]), ('who', 'nsubj', 'NOUN', []), ('appears', 'relcl', 'VERB', [who,  ]), (' ', '', 'SPACE', [])]"
origin,is ,the name Harlequin,name,is,"the ORIGIN of the name harlequin is uncertain , and","[('The', 'det', 'DET', []), ('origin', 'nsubj', 'NOUN', [The, of]), ('of', 'prep', 'ADP', [name]), ('the', 'det', 'DET', []), ('name', 'pobj', 'NOUN', [the, Harlequin]), ('Harlequin', 'appos', 'PROPN', []), ('is', 'ROOT', 'VERB', [origin, uncertain, ,, and]), ('uncertain', 'acomp', 'ADJ', []), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
Harlican,appears in,French folklore,folklore,appears,harlican appears in french folklore to describe both imps and,"[('Harlican', 'nsubj', 'PROPN', []), ('appears', 'ROOT', 'VERB', [Harlican, in, describe]), ('in', 'prep', 'ADP', [folklore]), ('French', 'amod', 'ADJ', []), ('folklore', 'pobj', 'NOUN', [French]), ('to', 'aux', 'PART', []), ('describe', 'xcomp', 'VERB', [to, IMPs]), ('both', 'preconj', 'DET', []), ('IMPs', 'dobj', 'NOUN', [both, and]), ('and', 'cc', 'CCONJ', [])]"
Herlethingi,are ,troops of night wanderers who are the dead,troops,are,the herlethingi are troops of night wanderers who are the dead .,"[('The', 'det', 'DET', []), ('Herlethingi', 'nsubj', 'PROPN', [The]), ('are', 'ROOT', 'VERB', [Herlethingi, troops, .]), ('troops', 'attr', 'NOUN', [of]), ('of', 'prep', 'ADP', [wanderers]), ('night', 'compound', 'NOUN', []), ('wanderers', 'pobj', 'NOUN', [night, are]), ('who', 'nsubj', 'NOUN', []), ('are', 'relcl', 'VERB', [who, dead]), ('the', 'det', 'DET', []), ('dead', 'attr', 'ADJ', [the]), ('.', 'punct', 'PUNCT', [])]"
They,appeared at,noontime,noontime,appeared,they also appeared at noontime .,"[('They', 'nsubj', 'PRON', []), ('also', 'advmod', 'ADV', []), ('appeared', 'ROOT', 'VERB', [They, also, at, .]), ('at', 'prep', 'ADP', [noontime]), ('noontime', 'pobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
Harlequin,was ,"a frequent clown character in the Italian improvisational theater called commedia dell’arte , popular in the 16th–18th centuries",character,was,"harlequin was a frequent clown character in the italian improvisational theater called commedia dell’arte , popular in the 16th–18th centuries .  ","[('Harlequin', 'nsubj', 'PROPN', []), ('was', 'ROOT', 'VERB', [Harlequin, character, .]), ('a', 'det', 'DET', []), ('frequent', 'amod', 'ADJ', []), ('clown', 'compound', 'NOUN', []), ('character', 'attr', 'NOUN', [a, frequent, clown, in, called, ,, popular]), ('in', 'prep', 'ADP', [theater]), ('the', 'det', 'DET', []), ('Italian', 'amod', 'ADJ', []), ('improvisational', 'amod', 'ADJ', []), ('theater', 'pobj', 'NOUN', [the, Italian, improvisational]), ('called', 'acl', 'VERB', [dell’arte]), ('commedia', 'compound', 'NOUN', []), ('dell’arte', 'oprd', 'ADJ', [commedia]), (',', 'punct', 'PUNCT', []), ('popular', 'amod', 'ADJ', [in]), ('in', 'prep', 'ADP', [centuries]), ('the', 'det', 'DET', []), ('16th–18th', 'amod', 'NUM', []), ('centuries', 'pobj', 'NOUN', [the, 16th–18th]), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
that,is ,a three - pronged spirit that is responsible for birth defects and,spirit,is,"in the testament of solomon , the head of the dragons is a three - pronged spirit THAT is responsible for birth defects and","[('In', 'prep', 'ADP', [Testament]), ('the', 'det', 'DET', []), ('Testament', 'pobj', 'PROPN', [the, of]), ('of', 'prep', 'ADP', [Solomon]), ('Solomon', 'pobj', 'PROPN', [,, Head]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('Head', 'appos', 'PROPN', [the, of]), ('of', 'prep', 'ADP', [Dragons]), ('the', 'det', 'DET', []), ('Dragons', 'pobj', 'PROPN', [the]), ('is', 'ROOT', 'VERB', [In, spirit]), ('a', 'det', 'DET', []), ('three', 'advmod', 'NUM', []), ('-', 'punct', 'PUNCT', []), ('pronged', 'amod', 'ADJ', [three, -]), ('spirit', 'attr', 'NOUN', [a, pronged, is]), ('that', 'nsubj', 'ADJ', []), ('is', 'relcl', 'VERB', [that, responsible]), ('responsible', 'acomp', 'ADJ', [for]), ('for', 'prep', 'ADP', [defects]), ('birth', 'compound', 'NOUN', []), ('defects', 'pobj', 'NOUN', [birth, and]), ('and', 'cc', 'CCONJ', [])]"
seven,are in,the following :  ,following,are,the SEVEN are the following :   in the form of a stork and,"[('The', 'det', 'DET', []), ('seven', 'nsubj', 'NUM', [The]), ('are', 'ROOT', 'VERB', [seven, following, in, and]), ('the', 'det', 'DET', []), ('following', 'attr', 'VERB', [the, :]), (':', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', []), ('in', 'prep', 'ADP', [form]), ('the', 'det', 'DET', []), ('form', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [stork]), ('a', 'det', 'DET', []), ('stork', 'pobj', 'NOUN', [a]), ('and', 'cc', 'CCONJ', [])]"
they,appear with like,Solomon,Solomon,appear,"when summoned by solomon , THEY appear with their heads “ like formless dogs .","[('When', 'advmod', 'ADV', []), ('summoned', 'advcl', 'VERB', [When, by]), ('by', 'agent', 'ADP', [Solomon]), ('Solomon', 'pobj', 'PROPN', []), (',', 'punct', 'PUNCT', []), ('they', 'nsubj', 'PRON', []), ('appear', 'ROOT', 'VERB', [summoned, ,, they, with, like, .]), ('with', 'prep', 'ADP', [heads]), ('their', 'poss', 'ADJ', []), ('heads', 'pobj', 'NOUN', [their, “]), ('“', 'appos', 'ADV', []), ('like', 'prep', 'ADP', [dogs]), ('formless', 'amod', 'ADJ', []), ('dogs', 'pobj', 'NOUN', [formless]), ('.', 'punct', 'PUNCT', [])]"
Hecataea,appear at,the goddess’,goddess’,appear,the hecataea appear at the goddess’ bidding .  ,"[('The', 'det', 'DET', []), ('Hecataea', 'nsubj', 'PROPN', [The]), ('appear', 'ROOT', 'VERB', [Hecataea, at, .]), ('at', 'prep', 'ADP', [goddess’, bidding]), ('the', 'det', 'DET', []), ('goddess’', 'pobj', 'NOUN', [the]), ('bidding', 'pobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
Amenti,is ,the underworld in the Osiris cult of Egyptian myth and,underworld,is,egyptian amenti ( also amentet ) is the underworld in the osiris cult of egyptian myth and,"[('Egyptian', 'amod', 'ADJ', []), ('Amenti', 'nsubj', 'PROPN', [Egyptian, (, Amentet, )]), ('(', 'punct', 'PUNCT', []), ('also', 'advmod', 'ADV', []), ('Amentet', 'appos', 'PROPN', [also]), (')', 'punct', 'PUNCT', []), ('is', 'ROOT', 'VERB', [Amenti, underworld]), ('the', 'det', 'DET', []), ('underworld', 'attr', 'NOUN', [the, in]), ('in', 'prep', 'ADP', [cult]), ('the', 'det', 'DET', []), ('Osiris', 'compound', 'PROPN', []), ('cult', 'pobj', 'NOUN', [the, Osiris, of]), ('of', 'prep', 'ADP', [myth]), ('Egyptian', 'amod', 'ADJ', []), ('myth', 'pobj', 'NOUN', [Egyptian, and]), ('and', 'cc', 'CCONJ', [])]"
underworld,is ,Hades,Hades,is,greek the greek UNDERWORLD of hades is a realm of shadows .,"[('Greek', 'amod', 'PROPN', []), ('The', 'det', 'DET', []), ('Greek', 'amod', 'ADJ', []), ('underworld', 'nsubj', 'NOUN', [Greek, The, Greek, of]), ('of', 'prep', 'ADP', [Hades]), ('Hades', 'pobj', 'PROPN', []), ('is', 'ROOT', 'VERB', [underworld, realm, .]), ('a', 'det', 'DET', []), ('realm', 'attr', 'NOUN', [a, of]), ('of', 'prep', 'ADP', [shadows]), ('shadows', 'pobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
souls,are ,the dead,dead,are,"the SOULS of the dead are colorless shades who wander about in a depressing , gloomy world .","[('The', 'det', 'DET', []), ('souls', 'nsubj', 'NOUN', [The, of]), ('of', 'prep', 'ADP', [dead]), ('the', 'det', 'DET', []), ('dead', 'pobj', 'ADJ', [the]), ('are', 'ROOT', 'VERB', [souls, shades, .]), ('colorless', 'amod', 'ADJ', []), ('shades', 'attr', 'NOUN', [colorless, wander]), ('who', 'nsubj', 'NOUN', []), ('wander', 'relcl', 'VERB', [who, about, in]), ('about', 'prep', 'ADP', []), ('in', 'prep', 'ADP', [world]), ('a', 'det', 'DET', []), ('depressing', 'amod', 'ADJ', []), (',', 'punct', 'PUNCT', []), ('gloomy', 'amod', 'ADJ', []), ('world', 'pobj', 'NOUN', [a, depressing, ,, gloomy]), ('.', 'punct', 'PUNCT', [])]"
