subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron  ,"a   modern river in Acarnania ( Epirus ) , which occasion- ally   runs   underground", is ,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron   is   also   the   name   of   a   modern river in acarnania ( epirus ) , which occasion- ally   runs   underground .  ===near   its   mouth there   was   a   famous   oracle   of   the   dead ,   at ephyra , where mortals could obtain advice from   the   gods   of   the   underworld .  ","Acheron | nsubj | PROPN | [ ]
, | punct | PUNCT | []
the | det | DET | []
palm | compound | NOUN | []
tree | appos | NOUN | [the, palm, ,, number]
, | punct | PUNCT | []
the | det | DET | []
number | conj | NOUN | [the, four, ,, and, kinds]
four | nummod | NUM | []
, | punct | PUNCT | []
and | cc | CCONJ | []
some | det | DET | []
kinds | conj | NOUN | [some, of]
of | prep | ADP | [fish]
fish | pobj | NOUN | []
. | punct | PUNCT | []",Sacred,tortoise,were
Hesione  ,Telamon, was ,"later ,   following   the   successful   completion of heracles’ ninth labor , heracles and telamon attacked   troy ,   sacked   the   city ,   killed laomedon   and   all   his   sons ,   save   podarces , who was ransomed by hesione , then changed his   name   to   priam .  ===hesione   was   given   to telamon and bore him the son teucer .===a few years later , priam sent antenor to demand that telamon should return hesione to her home , a request   that   was   scornfully   refused .  ","Hesione | nsubj | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Hesione,  , given, .]
  |  | SPACE | []
given | prep | VERB | [ , to, and, bore]
  |  | SPACE | []
to | dative | ADP | [Telamon]
Telamon | pobj | PROPN | []
and | cc | CCONJ | []
bore | conj | VERB | [him, son]
him | dative | PRON | []
the | det | DET | []
son | dobj | NOUN | [the, Teucer]
Teucer | appos | PROPN | []
. | punct | PUNCT | []",Hesione,Telamon,was
Eurus,some- times not included in this list, is ,"( west ) , notus ( south ) , and eurus ( east ) .===eurus is some- times not included in this list and is given dif- ferent parentage .===called vesper by the romans , hesperus   identified   with phosphorus  ","Eurus | nsubj | PROPN | []
is | ROOT | VERB | [Eurus, times, and, given, .]
some- | amod | ADV | []
times | attr | NOUN | [some-, included]
not | neg | ADV | []
included | acl | VERB | [not, in]
in | prep | ADP | [list]
this | det | DET | []
list | pobj | NOUN | [this]
and | cc | CCONJ | []
is | auxpass | VERB | []
given | conj | VERB | [is, parentage]
dif- | amod | ADJ | []
ferent | compound | NOUN | []
parentage | dobj | NOUN | [dif-, ferent]
. | punct | PUNCT | []",Eurus,times,is
Rhea (she),"164 Hiera   important in cult , mainly private ,", was ,"one of the 12 elite olympian deities ; the eldest daughter of cronos and rhea ; the first to be swallowed ,   and   subsequently   disgorged ,   by her father .===goddess of the hearth , supremely important when fire was so difficult to rekin- dle , and patroness of the household , she was    164 hiera   important in cult , mainly private , but has little mythology ,   remaining   a   peculiarly   domestic goddess .===later , sometime prior to the fifth cen- tury   b.c. ,   she   was   replaced   in   the   olympian hierarchy by dionysos , a move that secured a majority of gods over goddesses and seems to reflect a society that was becoming increasing- ly patriarchal .  ","Goddess | npadvmod | NOUN | [of]
of | prep | ADP | [hearth]
the | det | DET | []
hearth | pobj | NOUN | [the]
, | punct | PUNCT | []
supremely | advmod | ADV | []
important | ccomp | ADJ | [Goddess, ,, supremely, was]
when | advmod | ADV | []
fire | nsubj | NOUN | []
was | advcl | VERB | [when, fire, difficult]
so | advmod | ADV | []
difficult | acomp | ADJ | [so, rekin-]
to | aux | ADP | []
rekin- | xcomp | X | [to, dle]
dle | dobj | NOUN | [,, and, patroness]
, | punct | PUNCT | []
and | cc | CCONJ | []
patroness | conj | NOUN | [of]
of | prep | ADP | [household]
the | det | DET | []
household | pobj | NOUN | [the]
, | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [important, ,, she,   , important, but, has, .]
   |  | SPACE | []
164 | nummod | NUM | []
Hiera | compound | PROPN | [ ]
  |  | SPACE | []
important | acomp | ADJ | [164, Hiera, in, ,, private, ,]
in | prep | ADP | [cult]
cult | pobj | NOUN | []
, | punct | PUNCT | []
mainly | advmod | ADV | []
private | amod | ADJ | [mainly]
, | punct | PUNCT | []
but | cc | CCONJ | []
has | conj | VERB | [mythology, ,, goddess]
little | amod | ADJ | []
mythology | dobj | NOUN | [little]
, | punct | PUNCT | [ ]
  |  | SPACE | []
remaining | amod | VERB | [ ]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
peculiarly | amod | ADV | [ ]
  |  | SPACE | []
domestic | amod | ADJ | []
goddess | dobj | NOUN | [remaining, a, peculiarly, domestic]
. | punct | PUNCT | []",she,important,was
"whose golden girdle , a gift from Ares",the object of Heracles’ ninth labor, was ,"hippolyt ~ e , ~a  ===greek   queen of the amazons and sister of antiope whose golden girdle , a gift from ares , was the object of heracles’ ninth labor .===she agreed to give   heracles   and   his   companions ,   theseus and telamon , the girdle , but hera aroused the amazon   warriors ,   and   in   the   ensuing   fray hippolyte   and   many   other   amazon   leaders were killed .","Greek | amod | PROPN | [ ]
  |  | SPACE | []
Queen | nsubj | NOUN | [Greek, of]
of | prep | ADP | [Amazons]
the | det | DET | []
Amazons | pobj | PROPN | [the, and, sister]
and | cc | CCONJ | []
sister | conj | NOUN | [of]
of | prep | ADP | [Antiope]
Antiope | pobj | PROPN | []
whose | poss | ADJ | []
golden | amod | ADJ | []
girdle | nsubj | NOUN | [whose, golden, ,, gift]
, | punct | PUNCT | []
a | det | DET | []
gift | appos | NOUN | [a, from]
from | prep | ADP | [Ares]
Ares | pobj | PROPN | []
, | punct | PUNCT | []
was | ROOT | VERB | [Queen, girdle, ,, object, .]
the | det | DET | []
object | attr | NOUN | [the, of]
of | prep | ADP | [labor]
Heracles’ | nmod | PROPN | []
ninth | amod | ADJ | []
labor | pobj | NOUN | [Heracles’, ninth]
. | punct | PUNCT | []",girdle,object,was
Troezen (she),a   votary   of Artemis and   sworn   to   hunting   and   chastity, was ,"the son of theseus by either hippolyte or her sister ,   antiope ,   who   was   raised   in   troezen .===when theseus subsequently married phaedra she fell in love with her stepson , who repulsed her   advances   as   he   was   a   votary   of artemis and   sworn   to   hunting   and   chastity .  ===phaedra killed herself but left a letter falsely accusing hippolytus .","When | advmod | ADV | []
Theseus | nsubj | PROPN | []
subsequently | advmod | ADV | []
married | advcl | VERB | [When, Theseus, subsequently, Phaedra]
Phaedra | dobj | PROPN | []
she | nsubj | PRON | []
fell | ccomp | VERB | [married, she, in]
in | prep | ADP | [love]
love | pobj | NOUN | [with]
with | prep | ADP | [stepson]
her | poss | ADJ | []
stepson | pobj | NOUN | [her, ,, repulsed]
, | punct | PUNCT | []
who | nsubj | NOUN | []
repulsed | relcl | VERB | [who, advances, as]
her | poss | PRON | [ ]
  |  | SPACE | []
advances | dobj | NOUN | [her,  ]
  |  | SPACE | []
as | prep | ADP | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [fell, he,  , votary, .]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
votary | attr | NOUN | [a,  , of, chastity]
  |  | SPACE | []
of | prep | ADP | [Artemis]
Artemis | pobj | PROPN | [and]
and | cc | CCONJ | [ ]
  |  | SPACE | []
sworn | amod | VERB | [ , to, hunting, and]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
hunting | advcl | NOUN | [ ]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
chastity | appos | NOUN | [sworn]
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,votary,was
B.C. (he),one of   the   most   individual   and   supreme   literary geniuses of all time, is ,"his iliad appears to date from around the second half of the eighth cen- tury b.c. ; odyssey seems to fall around 700 b.c. , half   a   millenium   after   the   date   troy   was thought to have fallen , that is , c. 1200 b.c.  ===if the works attributed to homer are indeed the product of one man , then he surely is one of   the   most   individual   and   supreme   literary geniuses of all time .===they remain essential","If | mark | ADP | []
the | det | DET | []
works | nsubj | NOUN | [the, attributed]
attributed | acl | VERB | [to]
to | prep | ADP | [Homer]
Homer | pobj | PROPN | []
are | advcl | VERB | [If, works, indeed, product]
indeed | advmod | ADV | []
the | det | DET | []
product | attr | NOUN | [the, of]
of | prep | ADP | [man]
one | nummod | NUM | []
man | pobj | NOUN | [one]
, | punct | PUNCT | []
then | advmod | ADV | []
he | nsubj | PRON | []
surely | advmod | ADV | []
is | ROOT | VERB | [are, ,, then, he, surely, one, .]
one | attr | NUM | [of]
of | prep | ADP | [ , geniuses]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
most | advmod | ADJ | [ ]
  |  | SPACE | []
individual | amod | ADJ | [most,  , and]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
supreme | nmod | PROPN | [ ]
  |  | SPACE | []
literary | amod | ADJ | []
geniuses | pobj | NOUN | [the, individual, supreme, literary, of]
of | prep | ADP | [time]
all | det | DET | []
time | pobj | NOUN | [all]
. | punct | PUNCT | []",he,one,is
"Hyades   Greek   Varying   in   number   from   two   to   seven ,   the Hyades  ",the   daughters   of  , were ,"hyacinthos had cult status at amyclae , where an annual festi- val was held in his honor .  ===hyades   greek   varying   in   number   from   two   to   seven ,   the hyades   were   the   daughters   of  ===oceanos   and aethra or of atlas and pleione , the latter alter- native making them the sisters of the pleiades .","Hyades | compound | PROPN | [ ]
  |  | SPACE | []
Greek | nsubj | PROPN | [Hyades,  , two]
  |  | SPACE | []
Varying | amod | VERB | [ , in, from]
  |  | SPACE | []
in | prep | ADP | [ , number]
  |  | SPACE | []
number | pobj | NOUN | [ ]
  |  | SPACE | []
from | prep | ADP | [ ]
  |  | SPACE | []
two | appos | NUM | [Varying,  , to, seven, ,, Hyades]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
seven | appos | NUM | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
the | det | DET | []
Hyades | appos | PROPN | [the,  ]
  |  | SPACE | []
were | ROOT | VERB | [Greek,  , daughters]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
daughters | attr | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [ ]
  |  | SPACE | []",Greek,daughters,were
Asclepios (she),repre-, was ,"the goddess of health who was either the wife or daughter of asclepios .===in art she was repre- sented as dressed in a long robe , feeding a ser- pent from a cup .===her name has given us the word hygiene .  ","In | prep | ADP | [art]
art | pobj | NOUN | []
she | nsubj | PRON | []
was | ROOT | VERB | [In, she, repre-, sented, .]
repre- | attr | ADV | []
sented | advcl | VERB | [dressed, ,, feeding]
as | mark | ADP | []
dressed | advcl | VERB | [as, in]
in | prep | ADP | [robe]
a | det | DET | []
long | amod | ADJ | []
robe | pobj | NOUN | [a, long]
, | punct | PUNCT | []
feeding | advcl | VERB | [pent, from]
a | det | DET | []
ser- | amod | NOUN | []
pent | dobj | VERB | [a, ser-]
from | prep | ADP | [cup]
a | det | DET | []
cup | pobj | NOUN | [a]
. | punct | PUNCT | []",she,repre-,was
Aphrodite (he),repre- sented as a youth carrying a bridal torch and veil, was ,"patron god of marriage , being the son either of   apollo   and   a   muse   or   of   dionysos   and    168 hyperborean   aphrodite ;   the   personification   of   the   wed- ding   feast   and   of   hymenaioi , hymns   sung   at wedding   celebrations .  ===in   art   he   was   repre- sented as a youth carrying a bridal torch and veil .  ===hyperborean   greek  ","In | prep | ADP | [ , art]
  |  | SPACE | []
art | pobj | NOUN | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [In, he,  , repre-, .]
  |  | SPACE | []
repre- | attr | NOUN | [sented]
sented | acl | VERB | [as]
as | prep | ADP | [youth]
a | det | DET | []
youth | pobj | NOUN | [a, carrying]
carrying | acl | VERB | [torch]
a | det | DET | []
bridal | amod | ADJ | []
torch | dobj | NOUN | [a, bridal, and, veil]
and | cc | CCONJ | []
veil | conj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,repre-,was
Argos (she),the only one not to carry out her father ’s instructions to kill her new hus- band on their wedding night, was ,"greek   one   of   the   danaides ,   the   daughters   of danaus , king of argos .===when she and her 49 sisters married the 50 sons of aegyptus , hy- permnestra was the only one not to carry out her father ’s instructions to kill her new hus- band on their wedding night .===her sisters were condemned   for   their   actions   to   tartarus   for eternity ,   carrying   water   in   sieves   or   bottom- less vessels .  ","When | advmod | ADV | []
she | nsubj | PRON | [and, sisters]
and | cc | CCONJ | []
her | poss | ADJ | []
49 | nummod | NUM | []
sisters | conj | NOUN | [her, 49]
married | advcl | VERB | [When, she, sons]
the | det | DET | []
50 | nummod | NUM | []
sons | dobj | NOUN | [the, 50, of]
of | prep | ADP | [Aegyptus]
Aegyptus | pobj | PROPN | []
, | punct | PUNCT | []
Hy- | compound | ADV | []
permnestra | nsubj | ADV | [Hy-]
was | ROOT | VERB | [married, ,, permnestra, one, .]
the | det | DET | []
only | amod | ADJ | []
one | attr | NUM | [the, only, carry]
not | neg | ADV | []
to | aux | PART | []
carry | relcl | VERB | [not, to, out, instructions]
out | prt | PART | []
her | poss | ADJ | []
father | poss | NOUN | [her, ’s]
’s | case | PART | []
instructions | dobj | NOUN | [father, kill]
to | aux | PART | []
kill | acl | VERB | [to, band, on]
her | poss | ADJ | []
new | amod | ADJ | []
hus- | compound | ADJ | []
band | dobj | NOUN | [her, new, hus-]
on | prep | ADP | [night]
their | poss | ADJ | []
wedding | compound | NOUN | []
night | pobj | NOUN | [their, wedding]
. | punct | PUNCT | []",she,one,was
Her   direct   bawdiness   to Demeter  ,a   reflection   of   the   dirty   language often associated with rites like the Eleusinian Mysteries, is ,it has been suggested that iambe forms the mythological   explanation   of   the   custom   for bystanders to shout abuse at those taking part in the procession along the sacred way from athens   to   eleusis .  ===her   direct   bawdiness   to demeter   is   a   reflection   of   the   dirty   language often associated with rites like the eleusinian mysteries .  ===see also : demeter ; echo ; pan   iamus greek  ,"Her | poss | ADJ | [ ]
  |  | SPACE | []
direct | amod | ADJ | [ ]
  |  | SPACE | []
bawdiness | nsubj | NOUN | [Her, direct,  , to]
  |  | SPACE | []
to | prep | ADP | [Demeter]
Demeter | pobj | PROPN | [ ]
  |  | SPACE | []
is | ROOT | VERB | [bawdiness,  , reflection, .]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
reflection | attr | NOUN | [a,  , of]
  |  | SPACE | []
of | prep | ADP | [ , language]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
dirty | amod | ADJ | [ ]
  |  | SPACE | []
language | pobj | NOUN | [the, dirty, associated]
often | advmod | ADV | []
associated | acl | VERB | [often, with]
with | prep | ADP | [rites]
rites | pobj | NOUN | [like]
like | prep | ADP | [Mysteries]
the | det | DET | []
Eleusinian | amod | ADJ | []
Mysteries | pobj | PROPN | [the, Eleusinian]
. | punct | PUNCT | [ ]
  |  | SPACE | []",bawdiness,reflection,is
Greek (he),Dionysos,hos- received ,"daedalus   icarius greek   1 .===an athenian , the father of erigone who was taught the art of viniculture after he had hos- pitably   received   dionysos .  ===he   was   killed   by shepherds   who   believed   that   the   effects   of drinking wine meant they had been poisoned .","An | det | DET | []
Athenian | nsubj | PROPN | [An, ,, father]
, | punct | PUNCT | []
the | det | DET | []
father | appos | NOUN | [the, of, taught]
of | prep | ADP | [Erigone]
Erigone | pobj | PROPN | []
who | nsubjpass | NOUN | []
was | auxpass | VERB | []
taught | relcl | VERB | [who, was, art]
the | det | DET | []
art | dobj | NOUN | [the, of]
of | prep | ADP | [viniculture]
viniculture | pobj | NOUN | []
after | mark | ADP | []
he | nsubj | PRON | []
had | aux | VERB | [after, he]
hos- | aux | VERB | [Athenian, had]
pitably | advmod | ADV | [ ]
  |  | SPACE | []
received | ROOT | VERB | [hos-, pitably,  , Dionysos, .]
  |  | SPACE | []
Dionysos | dobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,Dionysos,received
Sisyphus (he),Palaemon,became known as,melicertes   was   washed ashore and buried by sisyphus .===thereafter he became known as palaemon and was honored in the isthmian games .===ino herself became the sea   goddess   leucothea .  ,"Thereafter | advmod | ADV | []
he | nsubjpass | PRON | []
became | auxpass | VERB | []
known | ROOT | ADJ | [Thereafter, he, became, as, and, honored, .]
as | prep | ADP | [Palaemon]
Palaemon | pobj | PROPN | []
and | cc | CCONJ | []
was | auxpass | VERB | []
honored | conj | VERB | [was, in]
in | prep | ADP | [Games]
the | det | DET | []
Isthmian | compound | PROPN | []
Games | pobj | PROPN | [the, Isthmian]
. | punct | PUNCT | []",he,Palaemon,known
She   and   Palaemon,helpers to sailors in time of distress, were ,ino herself became the sea   goddess   leucothea .  ===she   and   palaemon were helpers to sailors in time of distress and are notable for their help of odysseus .  ===see also :,"She | nsubj | PRON | [ , and, Palaemon]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
Palaemon | conj | PROPN | []
were | ROOT | VERB | [She, helpers, and, are, .]
helpers | attr | NOUN | [to, in]
to | prep | ADP | [sailors]
sailors | pobj | NOUN | []
in | prep | ADP | [time]
time | pobj | NOUN | [of]
of | prep | ADP | [distress]
distress | pobj | NOUN | []
and | cc | CCONJ | []
are | conj | VERB | [notable]
notable | acomp | ADJ | [for]
for | prep | ADP | [help]
their | poss | ADJ | []
help | pobj | NOUN | [their, of]
of | prep | ADP | [Odysseus]
Odysseus | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",She,helpers,were
Irene,the god- dess and personification of peace, was ,"see also : oedipus   irene greek  ===called pax by the romans , irene was the god- dess and personification of peace .===worshipped in   athens   she   was ,   at   least   according   to homer ,   one   of   the   horae ,   the   daughters   of zeus and themis .  ","Called | advcl | PROPN | [Pax, by]
Pax | oprd | PROPN | []
by | prep | ADP | [Romans]
the | det | DET | []
Romans | pobj | PROPN | [the]
, | punct | PUNCT | []
Irene | nsubj | PROPN | []
was | ROOT | VERB | [Called, ,, Irene, dess, .]
the | det | DET | []
god- | amod | ADJ | []
dess | attr | NOUN | [the, god-, and, personification]
and | cc | CCONJ | []
personification | conj | NOUN | [of]
of | prep | ADP | [peace]
peace | pobj | NOUN | []
. | punct | PUNCT | []",Irene,dess,was
Irene (she),Homer, was ,"called pax by the romans , irene was the god- dess and personification of peace .===worshipped in   athens   she   was ,   at   least   according   to homer ,   one   of   the   horae ,   the   daughters   of zeus and themis .  ===iris greek  ","Worshipped | advcl | VERB | [in, Athens]
in | prep | ADP | [ ]
  |  | SPACE | []
Athens | npadvmod | PROPN | [ ]
  |  | SPACE | []
she | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Worshipped, she, ,, according, ,, one, .]
, | punct | PUNCT | [ ]
  |  | SPACE | []
at | advmod | ADP | [ ]
  |  | SPACE | []
least | advmod | ADJ | [at,  ]
  |  | SPACE | []
according | prep | VERB | [least,  , to]
  |  | SPACE | []
to | prep | ADP | [Homer]
Homer | pobj | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
one | attr | NUM | [ , of]
  |  | SPACE | []
of | prep | ADP | [ , Horae]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Horae | pobj | PROPN | [the, ,, daughters]
, | punct | PUNCT | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
daughters | appos | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [Zeus]
Zeus | pobj | PROPN | [and, Themis]
and | cc | CCONJ | []
Themis | conj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,Homer,was
Zeus (she),even men-, is not,"the personification of the rainbow , the guise in   which   she   acts   as   a   messenger   to   zeus , bringing his message down to earth .===though she appears in homer ’s iliad as a general ser- vant to the gods , personal messenger of zeus , and bodyguard to hera , she is not even men- tioned   in   the   slightly   later   odyssey .===iris   was depicted as a gold - winged , swift - footed maid- en wearing talaria , the winged sandals more commonly   seen   as   an   attribute   of   hermes .","Though | mark | ADP | []
she | nsubj | PRON | []
appears | advcl | VERB | [Though, she, in, as]
in | prep | ADP | [Iliad]
Homer | poss | PROPN | [’s]
’s | case | PART | []
Iliad | pobj | PROPN | [Homer]
as | prep | ADP | [vant]
a | det | DET | []
general | amod | ADJ | []
ser- | compound | NOUN | []
vant | pobj | ADJ | [a, general, ser-, to]
to | prep | ADP | [gods]
the | det | DET | []
gods | pobj | NOUN | [the, ,, messenger]
, | punct | PUNCT | []
personal | amod | ADJ | []
messenger | appos | NOUN | [personal, of, ,, and, bodyguard]
of | prep | ADP | [Zeus]
Zeus | pobj | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
bodyguard | conj | NOUN | [to]
to | prep | ADP | [Hera]
Hera | pobj | PROPN | []
, | punct | PUNCT | []
she | nsubj | PRON | []
is | ROOT | VERB | [appears, ,, she, not, men-, tioned, .]
not | neg | ADV | []
even | advmod | ADV | []
men- | acomp | ADV | [even]
tioned | xcomp | VERB | [ , in]
  |  | SPACE | []
in | prep | ADP | [ , Odyssey]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
slightly | advmod | ADV | [ ]
  |  | SPACE | []
later | amod | ADV | [slightly,  ]
  |  | SPACE | []
Odyssey | pobj | NOUN | [the, later]
. | punct | PUNCT | []",she,men-,is
Macareus (she),one of those loved by Apollo, was ,"issa greek   daughter of macareus===, she was one of those loved by apollo .  ===see also : apollo   isthmian games   greek   quadrennial games held to honor poseidon on the isthmus of corinth , land that was awarded to poseidon by zeus in an ownership dispute with athene .  ",", | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [,, she, one, .]
one | attr | NUM | [of]
of | prep | ADP | [those]
those | pobj | DET | [loved]
loved | acl | VERB | [by]
by | agent | ADP | [Apollo]
Apollo | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,one,was
Janus (he),indicative   of   the   chaos   out   of  , are ,"he may have been an early sun god , his aspect as the god of begin- nings   indicating   that   he   presided   over   the creation   of   the   world .===additionally ,   his   two faces , though he may once have had four , are indicative   of   the   chaos   out   of   which   order finally   came ,   for   having   too   many   faces would make him confused .===janus took prece- dence over all the gods , even jupiter , the sun , the   moon ,   and   all   the   heavenly   bodies .  ","Additionally | advmod | ADV | []
, | punct | PUNCT | [ , faces]
  |  | SPACE | []
his | poss | ADJ | [ ]
  |  | SPACE | []
two | nummod | NUM | []
faces | preconj | NOUN | [his, two]
, | punct | PUNCT | []
though | mark | ADP | []
he | nsubj | PRON | []
may | aux | VERB | []
once | advmod | ADV | []
have | aux | VERB | []
had | advcl | VERB | [though, he, may, once, have, four]
four | dobj | NUM | []
, | punct | PUNCT | []
are | ROOT | VERB | [Additionally, ,, ,, had, ,, indicative, came, .]
indicative | acomp | ADJ | [ , of]
  |  | SPACE | []
of | prep | ADP | [ , chaos]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
chaos | pobj | NOUN | [the,  , out]
  |  | SPACE | []
out | advmod | PART | [ , of]
  |  | SPACE | []
of | prep | ADP | [ ]
  |  | SPACE | []
which | det | ADJ | [ ]
  |  | SPACE | []
order | nsubj | NOUN | [which]
finally | advmod | ADV | [ ]
  |  | SPACE | []
came | conj | VERB | [order, finally, ,, for, too, make]
, | punct | PUNCT | [ ]
  |  | SPACE | []
for | prep | ADP | [ , having]
  |  | SPACE | []
having | pcomp | VERB | [ ]
  |  | SPACE | []
too | advmod | ADV | [ ]
  |  | SPACE | []
many | amod | ADJ | [ ]
  |  | SPACE | []
faces | nsubj | NOUN | [many]
would | aux | VERB | []
make | conj | VERB | [faces, would, confused]
him | nsubj | PRON | []
confused | ccomp | ADJ | [him]
. | punct | PUNCT | []",he,indicative,are
Hera (her),concerned   with   all   aspects   of   women ’s lives, was ,"juno roman   principal roman goddess who was identified with   the   greek   hera .  ===her   marriage   to   her brother , jupiter — thus making her the queen of heaven — symbolized   her   association   with marriage , a ceremony she watched over ; she was   concerned   with   all   aspects   of   women ’s lives .===depicted as a statuesque , matronly fig- ure   who   was   especially   worshipped   by women ,   juno   was   also   goddess   of   light   and childbirth ,   being   known   as   lucina   in   this aspect .  ","Her | poss | ADJ | [ ]
  |  | SPACE | []
marriage | nsubj | NOUN | [Her,  , to, —, making, —]
  |  | SPACE | []
to | prep | ADP | [ , brother]
  |  | SPACE | []
her | poss | ADJ | []
brother | pobj | NOUN | [her, ,, Jupiter]
, | punct | PUNCT | []
Jupiter | appos | PROPN | []
— | punct | PUNCT | []
thus | advmod | ADV | []
making | acl | VERB | [thus, queen]
her | nsubj | PRON | []
the | det | DET | []
queen | dobj | NOUN | [her, the, of]
of | prep | ADP | [Heaven]
Heaven | pobj | PROPN | []
— | punct | PUNCT | []
symbolized | ccomp | VERB | [marriage,  , association]
  |  | SPACE | []
her | poss | PRON | [ ]
  |  | SPACE | []
association | dobj | NOUN | [her,  , with, ,, ceremony]
  |  | SPACE | []
with | prep | ADP | [marriage]
marriage | pobj | NOUN | []
, | punct | PUNCT | []
a | det | DET | []
ceremony | appos | NOUN | [a, watched]
she | nsubj | PRON | []
watched | relcl | VERB | [she, over]
over | prt | ADV | []
; | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [symbolized, ;, she,  , concerned, .]
  |  | SPACE | []
concerned | acomp | VERB | [ , with, aspects]
  |  | SPACE | []
with | prep | ADP | [ ]
  |  | SPACE | []
all | det | DET | [ ]
  |  | SPACE | []
aspects | appos | NOUN | [all,  , of]
  |  | SPACE | []
of | prep | ADP | [ , lives]
  |  | SPACE | []
women | poss | NOUN | [’s]
’s | case | PART | []
lives | pobj | NOUN | [women]
. | punct | PUNCT | []",her,concerned,was
Lucina (she),hostile to him, was ,"depicted as a statuesque , matronly fig- ure   who   was   especially   worshipped   by women ,   juno   was   also   goddess   of   light   and childbirth ,   being   known   as   lucina   in   this aspect .  ===in the roman tradition applied to the trojan aeneas , she was always hostile to him , at one stage   forcing   his   ships   ashore   at   carthage , though she was persuaded by venus , aeneas ’s roman   mother ,   to   allow   aeneas   to   marry queen dido .===leaving carthage on the instruc- tions of jupiter , aeneas arrived at drepanum , where juno led some of his followers’ wives to set fire to four of his five ships .","In | prep | ADP | [tradition]
the | det | DET | []
Roman | amod | ADJ | []
tradition | pobj | NOUN | [the, Roman]
applied | ccomp | VERB | [In, to]
to | prep | ADP | [Aeneas]
the | det | DET | []
Trojan | compound | PROPN | []
Aeneas | pobj | PROPN | [the, Trojan]
, | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [applied, ,, she, always, hostile, ,, forcing, persuaded, allow, .]
always | advmod | ADV | []
hostile | acomp | ADJ | [to]
to | prep | ADP | [him]
him | pobj | PRON | []
, | punct | PUNCT | []
at | prep | ADP | [stage]
one | nummod | NUM | []
stage | pobj | NOUN | [one,  ]
  |  | SPACE | []
forcing | advcl | VERB | [at,  , ships, ashore, at, ,]
  |  | SPACE | []
his | poss | ADJ | [ ]
  |  | SPACE | []
ships | dobj | NOUN | [his,  ]
  |  | SPACE | []
ashore | advmod | ADV | [ ]
  |  | SPACE | []
at | prep | ADP | [ , Carthage]
  |  | SPACE | []
Carthage | pobj | PROPN | []
, | punct | PUNCT | []
though | mark | ADP | []
she | nsubjpass | PRON | []
was | auxpass | VERB | []
persuaded | advcl | VERB | [though, she, was, by]
by | agent | ADP | [Venus]
Venus | pobj | PROPN | [,, mother]
, | punct | PUNCT | []
Aeneas | poss | PROPN | [’s]
’s | case | PART | []
Roman | amod | PROPN | [ ]
  |  | SPACE | []
mother | appos | NOUN | [Aeneas, Roman, ,, to]
, | punct | PUNCT | [ ]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
allow | dep | VERB | [ , marry]
  |  | SPACE | []
Aeneas | nsubj | PROPN | [ , to]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
