Subject,Predicate W/ Prepositions,Object Subtree,Sentence in Context,Object,Predicate,Parse Tree
Apollyon,is ,the Greek name,”===APOLLYON is the greek name .  ===in magic abaddon is often equated with satan and samael .,name,is,"Apollyon | nsubj | PROPN | []
was | ROOT | VERB | [case, OBSESSION, .]
the | det | DET | []
T | compound | PROPN | []
HOMPSON | nmod | PROPN | []
/ | punct | SYM | []
GIFFORD | compound | PROPN | []
OBSESSION | attr | NOUN | [the, T, HOMPSON, /, GIFFORD, in, ,, claimed]
in | prep | ADP | [1907]
1907 | pobj | NUM | []
, | punct | PUNCT | []
in | prep | ADP | [which]
which | pobj | ADJ | []
a | det | DET | []
metalworker | nsubj | NOUN | [a, ,, Thompson, ,]
, | punct | PUNCT | []
Frederic | compound | PROPN | []
L. | compound | PROPN | []
Thompson | appos | PROPN | [Frederic, L.]
, | punct | PUNCT | []
claimed | relcl | VERB | [in, metalworker, taken]
to | aux | PART | []
been | auxpass | VERB | []
taken | xcomp | VERB | [to, been, over, by]
over | prt | PART | []
by | agent | ADP | [painter]
a | det | DET | []
deceased | amod | ADJ | []
painter | pobj | NOUN | [a, deceased, ,, Gifford]
, | punct | PUNCT | []
R. | compound | PROPN | []
Swain | compound | PROPN | []
Gifford | appos | PROPN | [R., Swain]
. | punct | PUNCT | []"
She,was ,an editor and proofreader for Broadway magazine who had never written anything besides letters until 1908,"in 1909 , hyslop , met etta de camp , a medium currently living in new york city who had been psychic since her childhood in ohio .===SHE was an editor and proofreader for broadway magazine who had never written anything besides letters until 1908 .===after reading about spirit communications received by w. t. stead through automatic writing , de camp decided to try .",editor,was,"She | nsubj | PRON | []
was | ROOT | VERB | [She, editor, .]
an | det | DET | []
editor | attr | NOUN | [an, and, proofreader, for, written]
and | cc | CCONJ | []
proofreader | conj | NOUN | []
for | prep | ADP | [magazine]
Broadway | compound | PROPN | []
magazine | pobj | NOUN | [Broadway]
who | nsubj | NOUN | []
had | aux | VERB | []
never | neg | ADV | []
written | relcl | VERB | [who, had, never, anything, besides, until]
anything | dobj | NOUN | []
besides | prep | ADP | [letters]
letters | pobj | NOUN | []
until | prep | ADP | [1908]
1908 | pobj | NUM | []
. | punct | PUNCT | []"
communicator,was ,"an Indian brave , who reported that he 116   Hyslop , James Hervey   would hear from a dead man , a writer who wanted someone to ﬁnish the stories he left when he died","from that point on , the scripts became more coherent .===her ﬁrst COMMUNICATOR was an indian brave , who reported that he 116   hyslop , james hervey   would hear from a dead man , a writer who wanted someone to ﬁnish the stories he left when he died .  ===soon , her pencil wrote that the spirit of frank r. stockton had arrived and wished to communicate .",brave,was,"Her | poss | ADJ | []
ﬁrst | amod | ADJ | []
communicator | nsubj | NOUN | [Her, ﬁrst]
was | ROOT | VERB | [communicator, brave, .]
an | det | DET | []
Indian | amod | ADJ | []
brave | attr | NOUN | [an, Indian, ,, reported]
, | punct | PUNCT | []
who | nsubj | NOUN | []
reported | relcl | VERB | [who, hear]
that | mark | ADP | []
he | nsubj | PRON | []
116 | nummod | NUM | [ ]
  |  | SPACE | []
Hyslop | nsubj | PROPN | [he, 116, ,, Hervey]
, | punct | PUNCT | []
James | compound | PROPN | []
Hervey | appos | PROPN | [James,  ]
  |  | SPACE | []
would | aux | VERB | []
hear | ccomp | VERB | [that, Hyslop, would, from]
from | prep | ADP | [man]
a | det | DET | []
dead | amod | ADJ | []
man | pobj | NOUN | [a, dead, ,, writer]
, | punct | PUNCT | []
a | det | DET | []
writer | appos | NOUN | [a, wanted]
who | nsubj | NOUN | []
wanted | relcl | VERB | [who, someone]
someone | dobj | NOUN | [ﬁnish]
to | aux | PART | []
ﬁnish | relcl | VERB | [to, stories]
the | det | DET | []
stories | dobj | NOUN | [the, left]
he | nsubj | PRON | []
left | relcl | VERB | [he, died]
when | advmod | ADV | []
he | nsubj | PRON | []
died | advcl | VERB | [when, he]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Stockton,been in,popular,"de camp began writing short stories in stockton ’s style , and she showed them to her employer , george duysters , who introduced her to hyslop .  ===STOCKTON had been popular in the late 19th century , writing whimsical stories for children .===his most famous , “",popular,been,"Stockton | nsubj | PROPN | []
had | aux | VERB | []
been | ROOT | VERB | [Stockton, had, popular, in, ,, writing, .]
popular | acomp | ADJ | []
in | prep | ADP | [century]
the | det | DET | []
late | amod | ADJ | []
19th | amod | ADJ | []
century | pobj | NOUN | [the, late, 19th]
, | punct | PUNCT | []
writing | advcl | VERB | [stories]
whimsical | amod | ADJ | []
stories | dobj | NOUN | [whimsical, for]
for | prep | ADP | [children]
children | pobj | NOUN | []
. | punct | PUNCT | []"
”,is ,popular,"his most famous , “===the lady or the tiger , ” is still popular .===he had a distinctive style , full of humor , cynicism , and bizarre situations .",popular,is,"The | det | DET | []
Lady | nsubj | PROPN | [The, or, Tiger]
or | cc | CCONJ | []
the | det | DET | []
Tiger | conj | PROPN | [the]
, | punct | PUNCT | []
” | nsubj | NOUN | [Lady, ,]
is | ROOT | VERB | [”, still, popular, .]
still | advmod | ADV | []
popular | acomp | ADJ | []
. | punct | PUNCT | []"
Camp,was near,1912,"de camp continued to write in stockton ’s style , and hyslop lost contact with her from 1910 to 1912 while he investigated other matters .===in 1912 , de CAMP was near a complete breakdown , and hyslop agreed to participate in sittings , which would ﬁnally reveal stockton ’s presence .===through a series of séances with soule , both stockton and the recently deceased duysters revealed themselves , proving again to hyslop the reality of spirit possession and survival .",1912,was,"In | prep | ADP | [1912]
1912 | pobj | NUM | []
, | punct | PUNCT | []
De | compound | PROPN | []
Camp | nsubj | PROPN | [De]
was | ROOT | VERB | [In, ,, Camp, near, ,, and, agreed]
near | prep | ADP | [breakdown]
a | det | DET | []
complete | amod | ADJ | []
breakdown | pobj | NOUN | [a, complete]
, | punct | PUNCT | []
and | cc | CCONJ | []
Hyslop | nsubj | PROPN | []
agreed | conj | VERB | [Hyslop, participate, .]
to | aux | PART | []
participate | xcomp | VERB | [to, in]
in | prep | ADP | [sittings]
sittings | pobj | NOUN | [,, reveal]
, | punct | PUNCT | []
which | nsubj | ADJ | []
would | aux | VERB | []
ﬁnally | advmod | ADV | []
reveal | relcl | VERB | [which, would, ﬁnally, presence]
Stockton | poss | PROPN | [’s]
’s | case | PART | []
presence | dobj | NOUN | [Stockton]
. | punct | PUNCT | []"
Rogers,was ,a budding singer herself,"bott , who had died in 1891 .===ROGERS was a budding singer herself and had made remarkable progress for a person with little formal training .===when she contacted hyslop , rogers said emma abbott , her mother , and the late william james , a harvard philosopher and psychologist and friend of hyslop ’s , were all talking to her through automatic writing .",singer,was,"Rogers | nsubj | PROPN | []
was | ROOT | VERB | [Rogers, singer, and, made, .]
a | det | DET | []
budding | amod | VERB | []
singer | attr | NOUN | [a, budding, herself]
herself | appos | PRON | []
and | cc | CCONJ | []
had | aux | VERB | []
made | conj | VERB | [had, progress]
remarkable | amod | ADJ | []
progress | dobj | NOUN | [remarkable, for]
for | prep | ADP | [person]
a | det | DET | []
person | pobj | NOUN | [a, with]
with | prep | ADP | [training]
little | amod | ADJ | []
formal | amod | ADJ | []
training | pobj | NOUN | [little, formal]
. | punct | PUNCT | []"
case,was ,"the DORIS FISCHER OBSESSION , begun in 1914","their communication indicated great efforts by the spirits to help rogers’ singing career , but she never became a great star .  ===hyslop ’s last major CASE was the doris fischer obsession , begun in 1914 .  ===hyslop reportedly believed his health had been threatened in 1919 by a spirit he was trying to exorcize through sessions in boston with soule , and he was ill for several months .",OBSESSION,was,"Hyslop | poss | PROPN | [’s]
’s | case | PART | []
last | amod | ADJ | []
major | amod | ADJ | []
case | nsubj | NOUN | [Hyslop, last, major]
was | ROOT | VERB | [case, OBSESSION, .]
the | det | DET | []
DORIS | compound | PROPN | []
FISCHER | compound | PROPN | []
OBSESSION | attr | PROPN | [the, DORIS, FISCHER, ,, begun]
, | punct | PUNCT | []
begun | acl | VERB | [in]
in | prep | ADP | [1914]
1914 | pobj | NUM | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Iblis,is ,Arabian for “ despair,"in islam , the devil .===IBLIS is arabian for “ despair .===”",Arabian,is,"Iblis | nsubj | PROPN | []
is | ROOT | VERB | [Iblis, Arabian, .]
Arabian | acomp | ADJ | [for]
for | prep | ADP | [“, despair]
“ | pobj | ADJ | []
despair | pobj | NOUN | []
. | punct | PUNCT | []"
origin,are ,Iblis,”===the exact ORIGIN and nature of iblis are uncertain .===his name is the primary name for the devil ; he is also described as the chief and father of the djinn and an angel .,Iblis,are,"The | det | DET | []
exact | amod | ADJ | []
origin | nsubj | NOUN | [The, exact, and, nature]
and | cc | CCONJ | []
nature | conj | NOUN | [of]
of | prep | ADP | [Iblis]
Iblis | pobj | PROPN | []
are | ROOT | VERB | [origin, uncertain, .]
uncertain | acomp | ADJ | []
. | punct | PUNCT | []"
Iblis,was among,those who refused,"when allah created adam , he ordered all the angels to bow down and worship him .===IBLIS was among those who refused , claiming that a being made of dust was beneath him , a being of ﬁre .===allah cursed iblis for his pride and expelled him from heaven .",those,was,"Iblis | nsubj | PROPN | []
was | ROOT | VERB | [Iblis, among, ,, claiming, .]
among | prep | ADP | [those]
those | pobj | DET | [refused]
who | nsubj | NOUN | []
refused | relcl | VERB | [who]
, | punct | PUNCT | []
claiming | advcl | VERB | [was, being]
that | mark | ADP | []
a | nsubj | DET | [made]
being | auxpass | VERB | []
made | acl | VERB | [being, of]
of | prep | ADP | [dust]
dust | pobj | NOUN | []
was | ccomp | VERB | [that, a, beneath, ,]
beneath | prep | ADP | [him]
him | pobj | PRON | []
, | punct | PUNCT | []
a | det | DET | []
being | dobj | NOUN | [a, of]
of | prep | ADP | [ﬁre]
ﬁre | pobj | NOUN | []
. | punct | PUNCT | []"
Iblis,is ,both male and female,"iblis spoke to eve from within the mouth .  ===IBLIS is both male and female and can impregnate himself .===everytime he celebrates humans’ rebelling against god , he lays two eggs that hatch as demons .  ",male,is,"Iblis | nsubj | PROPN | []
is | ROOT | VERB | [Iblis, male, and, impregnate, .]
both | preconj | DET | []
male | attr | ADJ | [both, and, female]
and | cc | CCONJ | []
female | conj | ADJ | []
and | cc | CCONJ | []
can | aux | VERB | []
impregnate | conj | VERB | [can, himself]
himself | dobj | PRON | []
. | punct | PUNCT | []"
He,appear in,houses,"his 15 chief dukes have 2,200 servants .===HE and his demons mainly appear in houses .===they can be summoned day and night and will do as commanded .",houses,appear,"He | nsubj | PRON | [and, demons]
and | cc | CCONJ | []
his | poss | ADJ | []
demons | conj | NOUN | [his]
mainly | advmod | ADV | []
appear | ROOT | VERB | [He, mainly, in, .]
in | prep | ADP | [houses]
houses | pobj | NOUN | []
. | punct | PUNCT | []"
dukes,are ,"Mchariel , Pischiel , Thanatiel , Zosiel , Agapiel , Larphiel , Amediet , Cambriet , Nathriel , Zachartel , Athesiel , Cumariel , Muneﬁel , Heresiel , and Ubaniel","they can be summoned day and night and will do as commanded .===the 15 principal DUKES are mchariel , pischiel , thanatiel , zosiel , agapiel , larphiel , amediet , cambriet , nathriel , zachartel , athesiel , cumariel , muneﬁel , heresiel , and ubaniel .  ===imp a small demon usually kept inside a bottle or ring .",Mchariel,are,"The | det | DET | []
15 | nummod | NUM | []
principal | amod | ADJ | []
dukes | nsubj | NOUN | [The, 15, principal]
are | ROOT | VERB | [dukes, Mchariel, .]
Mchariel | attr | PROPN | [,, Pischiel, Athesiel]
, | punct | PUNCT | []
Pischiel | appos | PROPN | [,, Thanatiel]
, | punct | PUNCT | []
Thanatiel | conj | PROPN | [,, Zosiel]
, | punct | PUNCT | []
Zosiel | conj | PROPN | [,, Agapiel]
, | punct | PUNCT | []
Agapiel | conj | PROPN | [,, Larphiel]
, | punct | PUNCT | []
Larphiel | conj | PROPN | [,, Amediet]
, | punct | PUNCT | []
Amediet | conj | PROPN | [,, Cambriet]
, | punct | PUNCT | []
Cambriet | conj | PROPN | [,, Nathriel]
, | punct | PUNCT | []
Nathriel | conj | PROPN | [,, Zachartel]
, | punct | PUNCT | []
Zachartel | conj | PROPN | [,]
, | punct | PUNCT | []
Athesiel | appos | PROPN | [,, Cumariel]
, | punct | PUNCT | []
Cumariel | conj | PROPN | [,, Muneﬁel]
, | punct | PUNCT | []
Muneﬁel | conj | PROPN | [,, Heresiel]
, | punct | PUNCT | []
Heresiel | conj | PROPN | [,, and, Ubaniel]
, | punct | PUNCT | []
and | cc | CCONJ | []
Ubaniel | conj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
imp,is like,a FAMILIAR,imp a small demon usually kept inside a bottle or ring .===an IMP is like a familiar and is comparable to the djinn .===it is evoked for magical purposes .,FAMILIAR,is,"An | det | DET | []
imp | nsubj | NOUN | [An]
is | ROOT | VERB | [imp, like, and, is, .]
like | prep | ADP | [FAMILIAR]
a | det | DET | []
FAMILIAR | pobj | ADJ | [a]
and | cc | CCONJ | []
is | conj | VERB | [comparable]
comparable | acomp | ADJ | [to]
to | prep | ADP | [DJINN]
the | det | DET | []
DJINN | pobj | PROPN | [the]
. | punct | PUNCT | []"
Imps,are ,both good and evil,"it is evoked for magical purposes .===IMPS are both good and evil .  ===as familiars , imps can take the shape of animals , including insects and birds , which are sent out on tasks at the command of a witch or magician .",good,are,"Imps | nsubj | NOUN | []
are | ROOT | VERB | [Imps, good, .]
both | preconj | DET | []
good | acomp | ADJ | [both, and, evil]
and | cc | CCONJ | []
evil | conj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Imp,is ,England,"witch hunters during the inquisition accused witches of rewarding their imps for evil deeds by suckling them with their own blood , which the imps sucked from ﬁngers , warts , breasts , or any protuberance on the skin .  ===in england the lincoln IMP is a carved stone demon on a column in the angel choir at the cathedral in lincoln , constructed in the 12th century and once the tallest structure in the world .===the grinning imp is in a seated position with one leg crossed over the other .  ",England,is,"In | prep | ADP | [England]
England | pobj | PROPN | []
the | det | DET | []
Lincoln | compound | PROPN | []
Imp | nsubj | PROPN | [the, Lincoln]
is | ROOT | VERB | [In, Imp, demon, .]
a | det | DET | []
carved | amod | VERB | []
stone | compound | NOUN | []
demon | attr | NOUN | [a, carved, stone, on, ,, constructed]
on | prep | ADP | [column]
a | det | DET | []
column | pobj | NOUN | [a, in, at]
in | prep | ADP | [Choir]
the | det | DET | []
Angel | compound | PROPN | []
Choir | pobj | PROPN | [the, Angel]
at | prep | ADP | [cathedral]
the | det | DET | []
cathedral | pobj | NOUN | [the, in]
in | prep | ADP | [Lincoln]
Lincoln | pobj | PROPN | []
, | punct | PUNCT | []
constructed | acl | VERB | [in, and, structure]
in | prep | ADP | [century]
the | det | DET | []
12th | amod | ADJ | []
century | pobj | NOUN | [the, 12th]
and | cc | CCONJ | []
once | advmod | ADV | []
the | det | DET | []
tallest | amod | ADJ | []
structure | conj | NOUN | [once, the, tallest, in]
in | prep | ADP | [world]
the | det | DET | []
world | pobj | NOUN | [the]
. | punct | PUNCT | []"
imp,is in,a seated position with one leg crossed over the other,"in england the lincoln imp is a carved stone demon on a column in the angel choir at the cathedral in lincoln , constructed in the 12th century and once the tallest structure in the world .===the grinning IMP is in a seated position with one leg crossed over the other .  ===there are different versions of the legend .",position,is,"The | det | DET | []
grinning | amod | VERB | []
imp | nsubj | NOUN | [The, grinning]
is | ROOT | VERB | [imp, in, .]
in | prep | ADP | [position]
a | det | DET | []
seated | amod | ADJ | []
position | pobj | NOUN | [a, seated, with, crossed]
with | prep | ADP | [leg]
one | nummod | NUM | []
leg | pobj | NOUN | [one]
crossed | acl | VERB | [over]
over | prep | ADP | [other]
the | det | DET | []
other | pobj | ADJ | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
One,rode on to,the wind,"one version tells in rhyme that one day the devil was in good spirits and let his young demons out to play .===ONE rode on the wind to lindum ( lincoln ) and ordered the wind to take him into the church , intending to wreak havoc there .===the imp started breaking things in the angel choir and was turned to stone by angels in punishment .  ",wind,rode,"One | nsubj | NUM | []
rode | ROOT | VERB | [One, on, to, and, ordered, .]
on | prep | ADP | [wind]
the | det | DET | []
wind | pobj | NOUN | [the]
to | prep | ADP | [Lindum]
Lindum | pobj | PROPN | [(, Lincoln, )]
( | punct | PUNCT | []
Lincoln | appos | PROPN | []
) | punct | PUNCT | []
and | cc | CCONJ | []
ordered | conj | VERB | [wind, take, intending]
the | det | DET | []
wind | dobj | NOUN | [the]
to | aux | PART | []
take | xcomp | VERB | [to, him, into, ,]
him | dobj | PRON | []
into | prep | ADP | [church]
the | det | DET | []
church | pobj | NOUN | [the]
, | punct | PUNCT | []
intending | advcl | VERB | [wreak]
to | aux | PART | []
wreak | xcomp | VERB | [to, havoc, there]
havoc | dobj | NOUN | []
there | advmod | ADV | []
. | punct | PUNCT | []"
bowls,were among,common,"the bowl either overturned or captured demons .  ===incantation BOWLS were common among the babylonians and the hebrews , who were held captive for a time in babylonia .===their period of usage is uncertain but ranges at least from the second century to the seventh century .",common,were,"Incantation | compound | NOUN | []
bowls | nsubj | NOUN | [Incantation]
were | ROOT | VERB | [bowls, common, among, .]
common | acomp | ADJ | []
among | prep | ADP | [Babylonians]
the | det | DET | []
Babylonians | pobj | PROPN | [the, and, Hebrews, ,, held]
and | cc | CCONJ | []
the | det | DET | []
Hebrews | conj | PROPN | [the]
, | punct | PUNCT | []
who | nsubjpass | NOUN | []
were | auxpass | VERB | []
held | relcl | VERB | [who, were, captive, for]
captive | oprd | ADJ | []
for | prep | ADP | [time]
a | det | DET | []
time | pobj | NOUN | [a, in]
in | prep | ADP | [Babylonia]
Babylonia | pobj | PROPN | []
. | punct | PUNCT | []"
period,is ,usage,"incantation bowls were common among the babylonians and the hebrews , who were held captive for a time in babylonia .===their PERIOD of usage is uncertain but ranges at least from the second century to the seventh century .===almost all of the bowls that survive are inscribed in aramaic ; a few are inscribed in persian .",usage,is,"Their | poss | ADJ | []
period | nsubj | NOUN | [Their, of]
of | prep | ADP | [usage]
usage | pobj | NOUN | []
is | ROOT | VERB | [period, uncertain, but, ranges, .]
uncertain | acomp | ADJ | []
but | cc | CCONJ | []
ranges | conj | VERB | [from]
at | advmod | ADP | []
least | advmod | ADJ | [at]
from | prep | ADP | [least, century, to]
the | det | DET | []
second | amod | ADJ | []
century | pobj | NOUN | [the, second]
to | prep | ADP | [century]
the | det | DET | []
seventh | amod | ADJ | []
century | pobj | NOUN | [the, seventh]
. | punct | PUNCT | []"
name,appears on,the great angel Metatron,"many of the inscriptions call upon powerful angel s or king solomon and the power of the seal of his magical ring .===the NAME of the great angel metatron appears often on incantation bowls in invocations for angelic help .===various titles given him are the great prince of the whole world , prince of the world , and great prince of god",angel,appears,"The | det | DET | []
name | nsubj | NOUN | [The, of]
of | prep | ADP | [angel]
the | det | DET | []
great | amod | ADJ | []
angel | pobj | NOUN | [the, great, Metatron]
Metatron | appos | PROPN | []
appears | ROOT | VERB | [name, often, on, .]
often | advmod | ADV | []
on | prep | ADP | [bowls]
incantation | compound | NOUN | []
bowls | pobj | NOUN | [incantation, in]
in | prep | ADP | [invocations]
invocations | pobj | NOUN | [for]
for | prep | ADP | [help]
angelic | amod | ADJ | []
help | pobj | NOUN | [angelic]
. | punct | PUNCT | []"
titles,are ,him,"the name of the great angel metatron appears often on incantation bowls in invocations for angelic help .===various TITLES given him are the great prince of the whole world , prince of the world , and great prince of god===’s throne .  ",him,are,"Various | amod | ADJ | []
titles | nsubj | NOUN | [Various, given]
given | acl | VERB | [him]
him | pobj | PRON | []
are | ROOT | VERB | [titles, Prince]
the | det | DET | []
Great | compound | ADJ | []
Prince | attr | PROPN | [the, Great, of, ,, Prince]
of | prep | ADP | [World]
the | det | DET | []
Whole | compound | ADJ | []
World | pobj | PROPN | [the, Whole]
, | punct | PUNCT | []
Prince | appos | PROPN | [of, ,, and, Prince]
of | prep | ADP | [World]
the | det | DET | []
World | pobj | PROPN | [the]
, | punct | PUNCT | []
and | cc | CCONJ | []
Great | compound | ADJ | []
Prince | conj | PROPN | [Great, of]
of | prep | ADP | [God]
God | pobj | PROPN | []"
example,is ,a charm,"”  ===an EXAMPLE of a charm is the following :  ===the demon nty′ , tty qly′. bty′ , nuriel , holy rock .",charm,is,"An | det | DET | []
example | nsubj | NOUN | [An, of]
of | prep | ADP | [charm]
a | det | DET | []
charm | pobj | NOUN | [a]
is | ROOT | VERB | [example, following]
the | det | DET | []
following | attr | VERB | [the, :]
: | punct | PUNCT | [ ]
  |  | SPACE | []"
fortiﬁed,are ,"Ahat , the daughter of Imma ; Rabbi , Malki and Dipshi , the sons of Ahat ; and Yanai the daughter of Ahat , and Ahat the incubus   119   daughter of Imma , and Atyona the son of Qarqoi , and Qarquoi the daughter of Shilta , and Shilta the daughter of Immi","the demon nty′ , tty qly′. bty′ , nuriel , holy rock .===sealed and countersealed and FORTIFIED are ahat , the daughter of imma ; rabbi , malki and dipshi , the sons of ahat ; and yanai the daughter of ahat , and ahat the incubus   119   daughter of imma , and atyona the son of qarqoi , and qarquoi the daughter of shilta , and shilta the daughter of immi===—",Ahat,are,"Sealed | amod | VERB | [and, countersealed]
and | cc | CCONJ | []
countersealed | conj | ADJ | [and]
and | cc | CCONJ | []
fortiﬁed | nsubj | NOUN | [Sealed]
are | ROOT | VERB | [fortiﬁed, Ahat]
Ahat | attr | NOUN | [,, daughter]
, | punct | PUNCT | []
the | det | DET | []
daughter | appos | NOUN | [the, of, ;, Rabbi]
of | prep | ADP | [Imma]
Imma | pobj | PROPN | []
; | punct | PUNCT | []
Rabbi | appos | PROPN | [,, Malki, ,, sons, ;, and, Yanai]
, | punct | PUNCT | []
Malki | conj | PROPN | [and, Dipshi]
and | cc | CCONJ | []
Dipshi | conj | PROPN | []
, | punct | PUNCT | []
the | det | DET | []
sons | appos | NOUN | [the, of]
of | prep | ADP | [Ahat]
Ahat | pobj | DET | []
; | punct | PUNCT | []
and | cc | CCONJ | []
Yanai | conj | PROPN | [daughter, ,, and, Ahat]
the | det | DET | []
daughter | appos | NOUN | [the, of]
of | prep | ADP | [Ahat]
Ahat | pobj | DET | []
, | punct | PUNCT | []
and | cc | CCONJ | []
Ahat | conj | VERB | [incubus]
the | det | DET | []
incubus | appos | NOUN | [the,  , daughter]
  |  | SPACE | []
119 | nummod | NUM | [ ]
  |  | SPACE | []
daughter | appos | NOUN | [119, of, ,, and, Atyona]
of | prep | ADP | [Imma]
Imma | pobj | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
Atyona | conj | PROPN | [son, ,, and, Qarquoi]
the | det | DET | []
son | appos | NOUN | [the, of]
of | prep | ADP | [Qarqoi]
Qarqoi | pobj | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
Qarquoi | conj | PROPN | [daughter, and, Shilta]
the | det | DET | []
daughter | appos | NOUN | [the, of, ,]
of | prep | ADP | [Shilta]
Shilta | pobj | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
Shilta | conj | PROPN | [daughter]
the | det | DET | []
daughter | appos | NOUN | [the, of]
of | prep | ADP | [Immi]
Immi | pobj | PROPN | []"
they,be ,"they are their houses and their children and their property are sealed with the seal - ring of El Shaddai , blessed","—===THEY are their houses and their children and their property are sealed with the seal - ring of el shaddai , blessed be he , and with the seal ring of king solomon , the son of david , who worked spells on male demons and female liliths .===sealed , countersealed and fortiﬁed against the male demon and female lilith and spell and curse and incantation and knocking and evil eye and evil black - arts , against the black - arts of mother and daughter , and against those of daughter - in - law and mother - in - law , and against those of the presumptuous woman , who darkens the eyes and blows away the soul , and against the evil black - arts , that are wrought by men , and against everything bad .",blessed,be,"they | nsubj | PRON | []
are | ccomp | VERB | [they, houses, sealed]
their | poss | ADJ | []
houses | attr | NOUN | [their, and, children]
and | cc | CCONJ | []
their | poss | ADJ | []
children | conj | NOUN | [their, and, property]
and | cc | CCONJ | []
their | poss | ADJ | []
property | conj | NOUN | [their]
are | auxpass | VERB | []
sealed | conj | VERB | [are, with]
with | prep | ADP | [ring]
the | det | DET | []
seal | compound | NOUN | []
- | punct | PUNCT | []
ring | pobj | NOUN | [the, seal, -, of]
of | prep | ADP | [Shaddai]
El | compound | PROPN | []
Shaddai | pobj | PROPN | [El]
, | punct | PUNCT | []
blessed | acomp | VERB | [are, ,]
be | ROOT | VERB | [blessed, He, ,, and, with, .]
He | nsubj | PRON | []
, | punct | PUNCT | []
and | cc | CCONJ | []
with | conj | ADP | [ring]
the | det | DET | []
seal | compound | NOUN | []
ring | pobj | NOUN | [the, seal, of]
of | prep | ADP | [Solomon]
King | compound | PROPN | []
Solomon | pobj | PROPN | [King, ,, son, ,, worked]
, | punct | PUNCT | []
the | det | DET | []
son | appos | NOUN | [the, of]
of | prep | ADP | [David]
David | pobj | PROPN | []
, | punct | PUNCT | []
who | nsubj | NOUN | []
worked | relcl | VERB | [who, spells]
spells | dobj | NOUN | [on]
on | prep | ADP | [demons]
male | amod | ADJ | []
demons | pobj | NOUN | [male, and, liliths]
and | cc | CCONJ | []
female | amod | ADJ | []
liliths | conj | NOUN | [female]
. | punct | PUNCT | []"
Hosts,is ,"His name , Amen , amen , selah","in the name of the lord .===lord , HOSTS is his name , amen , amen , selah .===this charm is to thwart the demon titinos .",name,is,"Lord | npadvmod | PROPN | []
, | punct | PUNCT | []
Hosts | nsubj | PROPN | []
is | ROOT | VERB | [Lord, ,, Hosts, name, .]
His | poss | ADJ | []
name | attr | NOUN | [His, ,, Amen, amen]
, | punct | PUNCT | []
Amen | intj | INTJ | []
, | punct | PUNCT | []
amen | appos | INTJ | [,, ,, selah]
, | punct | PUNCT | []
selah | appos | INTJ | []
. | punct | PUNCT | []"
charm,is ,the demon Titinos,"lord , hosts is his name , amen , amen , selah .===this CHARM is to thwart the demon titinos .===sealed are the bodies ( ? ) of s ql , the bodies ( ? ) of s ql myly myly tygl .  ",Titinos,is,"This | det | DET | []
charm | nsubj | NOUN | [This]
is | ROOT | VERB | [charm, thwart, .]
to | aux | PART | []
thwart | xcomp | VERB | [to, Titinos]
the | det | DET | []
demon | compound | NOUN | []
Titinos | dobj | PROPN | [the, demon]
. | punct | PUNCT | []"
She,is ,the demon depicted bound in chains in the center of the inscriptions,"many bowls were inscribed against lilith , one of the most feared demons of all .===SHE is often the demon depicted bound in chains in the center of the inscriptions .===inscriptions either cast her out or issue decrees of divorce from her .",demon,is,"She | nsubj | PRON | []
is | ROOT | VERB | [She, often, demon, .]
often | advmod | ADV | []
the | det | DET | []
demon | attr | NOUN | [the, depicted]
depicted | acl | VERB | [bound]
bound | xcomp | VERB | [in]
in | prep | ADP | [chains]
chains | pobj | NOUN | [in]
in | prep | ADP | [center]
the | det | DET | []
center | pobj | NOUN | [the, of]
of | prep | ADP | [inscriptions]
the | det | DET | []
inscriptions | pobj | NOUN | [the]
. | punct | PUNCT | []"
Incubus,is from,"the Latin word incubare , which means “ to lie upon","naked art thou sent forth , unclad , with hair disheveled , and streaming down your back .  ===INCUBUS is from the latin word incubare , which means “ to lie upon .===”",incubare,is,"Incubus | nsubj | PROPN | []
is | ROOT | VERB | [Incubus, from, .]
from | prep | ADP | [incubare]
the | det | DET | []
Latin | amod | ADJ | []
word | compound | NOUN | [the, Latin]
incubare | pobj | NOUN | [word, ,, means]
, | punct | PUNCT | []
which | nsubj | ADJ | []
means | relcl | VERB | [which, lie]
“ | nsubj | ADJ | []
to | aux | PART | []
lie | ccomp | VERB | [“, to, upon]
upon | prep | ADP | []
. | punct | PUNCT | []"
term,is ,"pnigalion , or “ suffocation","”===another greek TERM is pnigalion , or “ suffocation .===”",pnigalion,is,"Another | det | DET | []
Greek | amod | ADJ | []
term | nsubj | NOUN | [Another, Greek]
is | ROOT | VERB | [term, pnigalion, .]
pnigalion | attr | NOUN | [,, or, suffocation]
, | punct | PUNCT | []
or | cc | CCONJ | []
“ | compound | ADJ | []
suffocation | conj | NOUN | [“]
. | punct | PUNCT | []"
