subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron,"the name of a modern river in Acarnania ( Epirus ) , which occasion- ally runs underground", is also,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron is also the name of a modern river in acarnania ( epirus ) , which occasion- ally runs underground .===near its mouth there was a famous oracle of the dead , at ephyra , where mortals could obtain advice from the gods of the underworld .","Acheron | nsubj | PROPN | []
stretch | nsubjpass | NOUN | [The, of]
of | prep | ADP | [water]
water | pobj | NOUN | [fell]
into | prep | ADP | [which]
which | pobj | ADJ | []
she | nsubj | PRON | []
fell | relcl | VERB | [into, she]
became | auxpass | VERB | []
known | ROOT | ADJ | [stretch, became, as, .]
as | prep | ADP | [Hellespont]
the | det | DET | []
Hellespont | pobj | PROPN | [the, ,, Dardanelles]
, | punct | PUNCT | []
the | det | DET | []
modern | amod | ADJ | []
Dardanelles | appos | PROPN | [the, modern]
. | punct | PUNCT | []",stretch,Hellespont,known
"Deucalion ; Prometheus   Hellenes   Greek   Named after the mythical Hellen , son of Deucalion and Pyrrha , the Hellenes or Greeks","an Indo - European people who entered Greece from the north in three main waves , the first , of Minyans and Ionians ,", were ,"see also :===deucalion ; prometheus   hellenes   greek   named after the mythical hellen , son of deucalion and pyrrha , the hellenes or greeks were an indo - european people who entered greece from the north in three main waves , the first , of minyans and ionians , beginning c.   ===150 hellespont   2000 b.c.","Deucalion | nsubj | NOUN | [;, Hellenes]
; | punct | PUNCT | []
Prometheus | compound | PROPN | [ ]
  |  | SPACE | []
Hellenes | appos | PROPN | [Prometheus,  , Named]
  |  | SPACE | []
Greek | amod | PROPN | [ ]
  |  | SPACE | []
Named | appos | VERB | [Greek, after]
after | prep | ADP | [Hellen]
the | det | DET | []
mythical | amod | ADJ | []
Hellen | pobj | PROPN | [the, mythical, ,, son, ,, Hellenes]
, | punct | PUNCT | []
son | appos | NOUN | [of]
of | prep | ADP | [Deucalion]
Deucalion | pobj | PROPN | [and, Pyrrha]
and | cc | CCONJ | []
Pyrrha | conj | PROPN | []
, | punct | PUNCT | []
the | det | DET | []
Hellenes | conj | PROPN | [the, or, Greeks]
or | cc | CCONJ | []
Greeks | conj | PROPN | []
were | ROOT | VERB | [Deucalion, people, beginning]
an | det | DET | []
Indo | amod | PROPN | []
- | punct | PUNCT | []
European | amod | ADJ | [Indo, -]
people | attr | NOUN | [an, European, entered]
who | nsubj | NOUN | []
entered | relcl | VERB | [who, Greece, from, in, ,, first]
Greece | dobj | PROPN | []
from | prep | ADP | [north]
the | det | DET | []
north | pobj | NOUN | [the]
in | prep | ADP | [waves]
three | nummod | NUM | []
main | amod | ADJ | []
waves | pobj | NOUN | [three, main]
, | punct | PUNCT | []
the | det | DET | []
first | dobj | ADJ | [the, ,, of, ,]
, | punct | PUNCT | []
of | prep | ADP | [Minyans]
Minyans | pobj | PROPN | [and, Ionians]
and | cc | CCONJ | []
Ionians | conj | PROPN | []
, | punct | PUNCT | []
beginning | prep | VERB | [c.]
c. | dobj | NOUN | [  ]
   |  | SPACE | []",Deucalion,people,were
Hera,"queen of the heavens and goddess of power and riches , the patroness of marriage and of women in general",was worshipped as,"one of the 12 elite olympian deities ; daughter of cronos and rhea ; sister of poseidon , zeus , hades , demeter , and hestia .===identified by the romans as juno , hera was worshipped as queen of the heavens and goddess of power and riches , the patroness of marriage and of women in general .===in cult she was often wor- shipped in her aspect of hera teleia—“the fulfilled”—a reflection of her most important role , that of goddess of marriage , the fulfill- ment of womanhood .","Identified | advcl | VERB | [by, as]
by | agent | ADP | [Romans]
the | det | DET | []
Romans | pobj | PROPN | [the]
as | prep | ADP | [Juno]
Juno | pobj | PROPN | []
, | punct | PUNCT | []
Hera | nsubjpass | PROPN | []
was | auxpass | VERB | []
worshipped | ROOT | VERB | [Identified, ,, Hera, was, as, .]
as | prep | ADP | [queen]
queen | pobj | NOUN | [of, ,, patroness]
of | prep | ADP | [heavens]
the | det | DET | []
heavens | pobj | NOUN | [the, and, goddess]
and | cc | CCONJ | []
goddess | conj | NOUN | [of]
of | prep | ADP | [power]
power | pobj | NOUN | [and, riches]
and | cc | CCONJ | []
riches | conj | NOUN | []
, | punct | PUNCT | []
the | det | DET | []
patroness | appos | NOUN | [the, of, and, of]
of | prep | ADP | [marriage]
marriage | pobj | NOUN | []
and | cc | CCONJ | []
of | prep | ADP | [women]
women | pobj | NOUN | [in]
in | prep | ADP | [general]
general | amod | ADJ | []
. | punct | PUNCT | []",Hera,queen,worshipped
Hera,the tree, received ,"she reluctantly became the second wife of her brother , zeus , who sought her out at either knossos or argos in the form of a cuckoo , their wedding night being spent on samos .===as a wedding gift from her new husband , hera received the tree with the golden apples that was later to be guarded by the hesperides .===a virgin goddess , she annually renewed her virginity by bathing in a spring near argos , even though her virginity was compromised on several occasions .","As | prep | ADP | [gift]
a | det | DET | []
wedding | compound | NOUN | []
gift | pobj | NOUN | [a, wedding, from]
from | prep | ADP | [husband]
her | poss | ADJ | []
new | amod | ADJ | []
husband | pobj | NOUN | [her, new]
, | punct | PUNCT | []
Hera | nsubj | PROPN | []
received | ROOT | VERB | [As, ,, Hera, tree, with, .]
the | det | DET | []
tree | dobj | NOUN | [the]
with | prep | ADP | [apples]
the | det | DET | []
golden | amod | ADJ | []
apples | pobj | NOUN | [the, golden, was]
that | nsubj | ADJ | []
was | relcl | VERB | [that, later, guarded]
later | advmod | ADV | []
to | aux | PART | []
be | auxpass | VERB | []
guarded | xcomp | VERB | [to, be, by]
by | agent | ADP | [Hesperides]
the | det | DET | []
Hesperides | pobj | NOUN | [the]
. | punct | PUNCT | []",Hera,tree,received
The messengers of Hera,"the four winds , which she entrust- ed to Aeolus since Zeus was likely to forget his duties and allow them to blow the earth and sea away", were ,"this story once again reflects the association of cows to hera .===the messengers of hera were the four winds , which she entrust- ed to aeolus since zeus was likely to forget his duties and allow them to blow the earth and sea away .===she , like zeus , had the power to bestow the art of prophecy .  ","The | det | DET | []
messengers | nsubj | NOUN | [The, of]
of | prep | ADP | [Hera]
Hera | pobj | PROPN | []
were | ROOT | VERB | [messengers, winds, .]
the | det | DET | []
four | nummod | NUM | []
winds | attr | NOUN | [the, four, ,, entrust-]
, | punct | PUNCT | []
which | dobj | ADJ | []
she | nsubj | PRON | []
entrust- | relcl | VERB | [which, she, ed, to, was]
ed | dobj | NOUN | []
to | prep | ADP | [Aeolus]
Aeolus | pobj | PROPN | []
since | mark | ADP | []
Zeus | nsubj | PROPN | []
was | advcl | VERB | [since, Zeus, likely]
likely | acomp | ADJ | [forget]
to | aux | PART | []
forget | xcomp | VERB | [to, duties, and, allow]
his | poss | ADJ | []
duties | dobj | NOUN | [his]
and | cc | CCONJ | []
allow | conj | VERB | [blow]
them | nsubj | PRON | []
to | aux | PART | []
blow | ccomp | VERB | [them, to, earth, away]
the | det | DET | []
earth | dobj | NOUN | [the, and, sea]
and | cc | CCONJ | []
sea | conj | NOUN | []
away | advmod | ADV | []
. | punct | PUNCT | []",messengers,winds,were
"terious lover , Zeus ,",her,to appear to,"when semele was pregnant six months with dionysos , hera disguised herself as an old   woman and persuaded semele to ask her mys-===terious lover , zeus , to appear to her in his true form .===zeus reluctantly consented , and semele was consumed by the fire from his thunderbolt .","terious | amod | ADJ | []
lover | nsubj | NOUN | [terious, ,, Zeus, ,]
, | punct | PUNCT | []
Zeus | appos | PROPN | []
, | punct | PUNCT | []
to | aux | PART | []
appear | ROOT | VERB | [lover, to, to, in, .]
to | prep | ADP | [her]
her | pobj | PRON | []
in | prep | ADP | [form]
his | poss | ADJ | []
true | amod | ADJ | []
form | pobj | NOUN | [his, true]
. | punct | PUNCT | []",lover,her,appear
The young Heracles,a chariot by Amphitryon,was taught how,"heracles simply grasped one in each hand and squeezed the life out of them .  ===the young heracles was taught how to drive a chariot by amphitryon , fighting by    154 hera ~ cles , ~kles   castor , how to sing and play the lyre by eumolpus , wrestling by autolycus , and archery by the king of oechalia , eurytus .===even though the greeks normally scorned the bow and arrow as the weapon of a coward , they became heracles’ characteristic weapon .","The | det | DET | []
young | amod | ADJ | []
Heracles | nsubjpass | PROPN | [The, young]
was | auxpass | VERB | []
taught | ROOT | VERB | [Heracles, was, drive, .]
how | advmod | ADV | []
to | aux | PART | []
drive | xcomp | VERB | [how, to, chariot, ,, fighting, ~kles]
a | det | DET | []
chariot | dobj | NOUN | [a, by]
by | prep | ADP | [Amphitryon]
Amphitryon | pobj | PROPN | []
, | punct | PUNCT | []
fighting | advcl | NOUN | [by]
by | prep | ADP | [  , Hera]
   |  | SPACE | []
154 | nummod | NUM | []
Hera | pobj | PROPN | [154, ~, cles, ,]
~ | punct | PUNCT | []
cles | appos | NOUN | []
, | punct | PUNCT | []
~kles | dep | NOUN | [ , Castor, sing]
  |  | SPACE | []
Castor | npadvmod | PROPN | [,]
, | punct | PUNCT | []
how | advmod | ADV | []
to | aux | PART | []
sing | xcomp | VERB | [how, to, and, play]
and | cc | CCONJ | []
play | conj | VERB | [lyre, by]
the | det | DET | []
lyre | dobj | NOUN | [the]
by | prep | ADP | [Eumolpus]
Eumolpus | pobj | PROPN | [,, wrestling]
, | punct | PUNCT | []
wrestling | appos | NOUN | [by, ,, and, archery]
by | agent | ADP | [Autolycus]
Autolycus | pobj | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
archery | conj | NOUN | [by]
by | prep | ADP | [king]
the | det | DET | []
king | pobj | NOUN | [the, of]
of | prep | ADP | [Oechalia]
Oechalia | pobj | PROPN | [,, Eurytus]
, | punct | PUNCT | []
Eurytus | appos | PROPN | []
. | punct | PUNCT | []",Heracles,chariot,taught
Heracles,him, was ,"there the pythia , who was the first to call him heracles , advised him to travel to the court of king eurystheus , king of tiryns and mycenae , and argos , at least according to some .===there heracles was to serve him , doing whatever he bid without question for 12 years .===if he com-  ","There | advmod | ADV | []
Heracles | nsubj | PROPN | []
was | ROOT | VERB | [There, Heracles, serve, .]
to | aux | PART | []
serve | xcomp | VERB | [to, him, ,, doing]
him | dobj | PRON | []
, | punct | PUNCT | []
doing | advcl | VERB | [bid]
whatever | dobj | ADJ | []
he | nsubj | PRON | []
bid | ccomp | VERB | [whatever, he, without]
without | prep | ADP | [question]
question | pobj | NOUN | [for]
for | prep | ADP | [years]
12 | nummod | NUM | []
years | pobj | NOUN | [12]
. | punct | PUNCT | []",Heracles,him,was
The Hesperides,a land beyond the River Oceanus, were ,"during the course of this contest nereus , or proteus , changed his form many times , but heracles resolutely held on , and finally the sea god gave him what he required .===the hesperides were to be found in a land beyond the river oceanus .===to travel there heracles fol- lowed a somewhat curious route that initially led him to the caucasus , where he released the titan prometheus from his bonds ; some say heracles took further advice from pro- metheus .","The | det | DET | []
Hesperides | nsubj | NOUN | [The]
were | ROOT | VERB | [Hesperides, found, .]
to | aux | PART | []
be | auxpass | VERB | []
found | xcomp | VERB | [to, be, in]
in | prep | ADP | [land]
a | det | DET | []
land | pobj | NOUN | [a, beyond]
beyond | prep | ADP | [Oceanus]
the | det | DET | []
River | compound | PROPN | []
Oceanus | pobj | PROPN | [the, River]
. | punct | PUNCT | []",Hesperides,land,were
Atlas,only too happy to oblige, was only too,"heracles per- suaded the giant to fetch the apples for him while he held up the sky in his place .===atlas was only too happy to oblige , for he saw an oppor- tunity to be rid of the task forever .===when he returned he suggested that he should take the apples to eurystheus for heracles , but heracles saw through the ruse and , pretend- ing to agree , had atlas once more take the sky while he adjusted his position .","Atlas | nsubj | PROPN | []
was | ROOT | VERB | [Atlas, happy, ,, saw, .]
only | advmod | ADV | []
too | advmod | ADV | []
happy | acomp | ADJ | [only, too, oblige]
to | aux | PART | []
oblige | xcomp | VERB | [to]
, | punct | PUNCT | []
for | mark | ADP | []
he | nsubj | PRON | []
saw | advcl | VERB | [for, he, tunity]
an | det | DET | []
oppor- | amod | ADJ | []
tunity | dobj | NOUN | [an, oppor-, rid]
to | aux | PART | []
be | auxpass | VERB | []
rid | relcl | VERB | [to, be, of, forever]
of | prep | ADP | [task]
the | det | DET | []
task | pobj | NOUN | [the]
forever | advmod | ADV | []
. | punct | PUNCT | []",Atlas,happy,was
Heracles,as usual, was ,"heracles did so by simply grabbing cerberus by the throat .===when heracles returned to tiryns , eurystheus was , as usual , so terrified that he ordered heracles to immediately return the hound .===having done so , heracles was freed from his obligation to eurystheus , the last labor having been completed .  ","When | advmod | ADV | []
Heracles | nsubj | PROPN | []
returned | advcl | VERB | [When, Heracles, to]
to | prep | ADP | [Tiryns]
Tiryns | pobj | PROPN | []
, | punct | PUNCT | []
Eurystheus | nsubj | PROPN | []
was | ROOT | VERB | [returned, ,, Eurystheus, ,, usual, ,, terrified, .]
, | punct | PUNCT | []
as | advmod | ADP | []
usual | acomp | ADJ | [as]
, | punct | PUNCT | []
so | advmod | ADV | []
terrified | conj | ADJ | [so, ordered]
that | mark | ADP | []
he | nsubj | PRON | []
ordered | ccomp | VERB | [that, he, Heracles, return]
Heracles | dobj | PROPN | []
to | aux | PART | []
immediately | advmod | ADV | []
return | xcomp | VERB | [to, immediately, hound]
the | det | DET | []
hound | dobj | NOUN | [the]
. | punct | PUNCT | []",Heracles,usual,was
Images of Heracles,Persia, are ,"after his apotheosis , heracles was identified with the gods melqart of tyre and sandan of tarsus , as both of these cults involved the ritual burning of images on a funeral pyre .===images of heracles are to be found as far east as persia , but he remains , without doubt , a character , whether mortal or god , of greek derivation who later was absorbed almost unaltered into the roman tradition , that tradition adding just minute detail to his already complex and complete life .  ===see also :","Images | nsubj | NOUN | [of]
of | prep | ADP | [Heracles]
Heracles | pobj | PROPN | []
are | ROOT | VERB | [Images, found, ,, but, remains]
to | aux | PART | []
be | auxpass | VERB | []
found | xcomp | VERB | [to, be, east]
as | advmod | ADP | []
far | advmod | ADV | []
east | advmod | ADV | [as, far, as]
as | prep | ADP | [Persia]
Persia | pobj | PROPN | []
, | punct | PUNCT | []
but | cc | CCONJ | []
he | nsubj | PRON | []
remains | conj | VERB | [he, ,, without, ,, character, .]
, | punct | PUNCT | []
without | prep | ADP | [doubt]
doubt | pobj | NOUN | []
, | punct | PUNCT | []
a | det | DET | []
character | attr | NOUN | [a, ,, mortal, ,, adding]
, | punct | PUNCT | []
whether | det | ADP | []
mortal | amod | ADJ | [whether, or, god, ,, of, absorbed]
or | cc | CCONJ | []
god | conj | INTJ | []
, | punct | PUNCT | []
of | prep | ADP | [derivation]
Greek | amod | ADJ | []
derivation | pobj | NOUN | [Greek]
who | nsubjpass | NOUN | []
later | advmod | ADV | []
was | auxpass | VERB | []
absorbed | relcl | VERB | [who, later, was, unaltered]
almost | advmod | ADV | []
unaltered | advmod | ADJ | [almost, into]
into | prep | ADP | [tradition]
the | det | DET | []
Roman | amod | ADJ | []
tradition | pobj | NOUN | [the, Roman]
, | punct | PUNCT | []
that | det | DET | []
tradition | nsubj | NOUN | [that]
adding | acl | VERB | [tradition, detail, to]
just | advmod | ADV | []
minute | amod | NOUN | []
detail | dobj | NOUN | [just, minute]
to | prep | ADP | [life]
his | poss | ADJ | []
already | advmod | ADV | []
complex | amod | ADJ | [already, and, complete]
and | cc | CCONJ | []
complete | conj | ADJ | []
life | pobj | NOUN | [his, complex]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Images,Persia,are
Sacred to Hermes,"the tortoise , the palm tree , the number four , and some kinds of fish", were ,"early artistic represen- tations tended to show hermes as a bearded man of mature years wearing a long tunic .===sacred to hermes were the tortoise , the palm tree , the number four , and some kinds of fish .===sacrifices to him usually took the form of incense , honey , cakes , pigs , lambs , and kids .  ","Sacred | nsubj | VERB | [to]
to | prep | ADP | [Hermes]
Hermes | pobj | PROPN | []
were | ROOT | VERB | [Sacred, tortoise, .]
the | det | DET | []
tortoise | attr | NOUN | [the, ,, tree]
, | punct | PUNCT | []
the | det | DET | []
palm | compound | NOUN | []
tree | appos | NOUN | [the, palm, ,, number]
, | punct | PUNCT | []
the | det | DET | []
number | conj | NOUN | [the, four, ,, and, kinds]
four | nummod | NUM | []
, | punct | PUNCT | []
and | cc | CCONJ | []
some | det | DET | []
kinds | conj | NOUN | [some, of]
of | prep | ADP | [fish]
fish | pobj | NOUN | []
. | punct | PUNCT | []",Sacred,tortoise,were
Eurus,some- times not included in this list, is ,"the off- spring of astraeus and eos , brother - sister to the four winds , boreas ( north ) , zephyrus ( west ) , notus ( south ) , and eurus ( east ) .===eurus is some- times not included in this list and is given dif- ferent parentage .===called vesper by the romans , hesperus   identified with phosphorus ( latin : “ lucifer ” ) , the bringer of light , the morning star .  ","Eurus | nsubj | PROPN | []
is | ROOT | VERB | [Eurus, times, and, given, .]
some- | amod | ADV | []
times | attr | NOUN | [some-, included]
not | neg | ADV | []
included | acl | VERB | [not, in]
in | prep | ADP | [list]
this | det | DET | []
list | pobj | NOUN | [this]
and | cc | CCONJ | []
is | auxpass | VERB | []
given | conj | VERB | [is, parentage]
dif- | amod | ADJ | []
ferent | compound | NOUN | []
parentage | dobj | NOUN | [dif-, ferent]
. | punct | PUNCT | []",Eurus,times,is
nymphs (she),"164 Hiera   important in cult , mainly private ,", was ,"one of the 12 elite olympian deities ; the eldest daughter of cronos and rhea ; the first to be swallowed , and subsequently disgorged , by her father .===goddess of the hearth , supremely important when fire was so difficult to rekin- dle , and patroness of the household , she was    164 hiera   important in cult , mainly private , but has little mythology , remaining a peculiarly domestic goddess .===later , sometime prior to the fifth cen- tury b.c. , she was replaced in the olympian hierarchy by dionysos , a move that secured a majority of gods over goddesses and seems to reflect a society that was becoming increasing- ly patriarchal .  ","Goddess | npadvmod | NOUN | [of]
of | prep | ADP | [hearth]
the | det | DET | []
hearth | pobj | NOUN | [the]
, | punct | PUNCT | []
supremely | advmod | ADV | []
important | ccomp | ADJ | [Goddess, ,, supremely, was]
when | advmod | ADV | []
fire | nsubj | NOUN | []
was | advcl | VERB | [when, fire, difficult]
so | advmod | ADV | []
difficult | acomp | ADJ | [so, rekin-]
to | aux | ADP | []
rekin- | xcomp | X | [to, dle]
dle | dobj | NOUN | [,, and, patroness]
, | punct | PUNCT | []
and | cc | CCONJ | []
patroness | conj | NOUN | [of]
of | prep | ADP | [household]
the | det | DET | []
household | pobj | NOUN | [the]
, | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [important, ,, she,   , important, but, has, .]
   |  | SPACE | []
164 | nummod | NUM | []
Hiera | compound | PROPN | [ ]
  |  | SPACE | []
important | acomp | ADJ | [164, Hiera, in, ,, private, ,]
in | prep | ADP | [cult]
cult | pobj | NOUN | []
, | punct | PUNCT | []
mainly | advmod | ADV | []
private | amod | ADJ | [mainly]
, | punct | PUNCT | []
but | cc | CCONJ | []
has | conj | VERB | [mythology, ,, remaining]
little | amod | ADJ | []
mythology | dobj | NOUN | [little]
, | punct | PUNCT | []
remaining | conj | VERB | [goddess]
a | det | DET | []
peculiarly | advmod | ADV | []
domestic | amod | ADJ | [peculiarly]
goddess | dobj | NOUN | [a, domestic]
. | punct | PUNCT | []",she,important,was
"whose golden girdle , a gift from Ares",the object of Heracles’ ninth labor, was ,"hippolyt ~ e , ~a  ===greek   queen of the amazons and sister of antiope whose golden girdle , a gift from ares , was the object of heracles’ ninth labor .===she agreed to give heracles and his companions , theseus and telamon , the girdle , but hera aroused the amazon warriors , and in the ensuing fray hippolyte and many other amazon leaders were killed .","Greek | amod | PROPN | [ ]
  |  | SPACE | []
Queen | nsubj | NOUN | [Greek, of]
of | prep | ADP | [Amazons]
the | det | DET | []
Amazons | pobj | PROPN | [the, and, sister]
and | cc | CCONJ | []
sister | conj | NOUN | [of]
of | prep | ADP | [Antiope]
Antiope | pobj | PROPN | []
whose | poss | ADJ | []
golden | amod | ADJ | []
girdle | nsubj | NOUN | [whose, golden, ,, gift]
, | punct | PUNCT | []
a | det | DET | []
gift | appos | NOUN | [a, from]
from | prep | ADP | [Ares]
Ares | pobj | PROPN | []
, | punct | PUNCT | []
was | ROOT | VERB | [Queen, girdle, ,, object, .]
the | det | DET | []
object | attr | NOUN | [the, of]
of | prep | ADP | [labor]
Heracles’ | nmod | PROPN | []
ninth | amod | ADJ | []
labor | pobj | NOUN | [Heracles’, ninth]
. | punct | PUNCT | []",girdle,object,was
centaur (he),one of the most individual and supreme literary geniuses of all time, is ,"his iliad appears to date from around the second half of the eighth cen- tury b.c. ; odyssey seems to fall around 700 b.c. , half a millenium after the date troy was thought to have fallen , that is , c. 1200 b.c.  ===if the works attributed to homer are indeed the product of one man , then he surely is one of the most individual and supreme literary geniuses of all time .===they remain essential ref- erence works for any student of classical mythology and , artistically speaking , are the most influential literary works in the world .  ","If | mark | ADP | []
the | det | DET | []
works | nsubj | NOUN | [the, attributed]
attributed | acl | VERB | [to]
to | prep | ADP | [Homer]
Homer | pobj | PROPN | []
are | advcl | VERB | [If, works, indeed, product]
indeed | advmod | ADV | []
the | det | DET | []
product | attr | NOUN | [the, of]
of | prep | ADP | [man]
one | nummod | NUM | []
man | pobj | NOUN | [one]
, | punct | PUNCT | []
then | advmod | ADV | []
he | nsubj | PRON | []
surely | advmod | ADV | []
is | ROOT | VERB | [are, ,, then, he, surely, one, .]
one | attr | NUM | [of]
of | prep | ADP | [geniuses]
the | det | DET | []
most | advmod | ADV | []
individual | amod | ADJ | [the, most, and, supreme]
and | cc | CCONJ | []
supreme | conj | ADJ | []
literary | amod | ADJ | []
geniuses | pobj | NOUN | [individual, literary, of]
of | prep | ADP | [time]
all | det | DET | []
time | pobj | NOUN | [all]
. | punct | PUNCT | []",he,one,is
the Hyades,"the daughters of Oceanos and Aethra or of Atlas and Pleione , the latter alter- native making them the sisters of the Pleiades", were ,"hyades   greek  ===varying in number from two to seven , the hyades were the daughters of oceanos and aethra or of atlas and pleione , the latter alter- native making them the sisters of the pleiades .===often referred to as the nurses of zeus at dodona or of dionysos on mount nysa , their name implies they were rain nymphs .","Varying | advcl | VERB | [in, from]
in | prep | ADP | [number]
number | pobj | NOUN | []
from | prep | ADP | [seven]
two | quantmod | NUM | []
to | quantmod | ADP | []
seven | pobj | NUM | [two, to]
, | punct | PUNCT | []
the | det | DET | []
Hyades | nsubj | PROPN | [the]
were | ROOT | VERB | [Varying, ,, Hyades, daughters, .]
the | det | DET | []
daughters | attr | NOUN | [the, of, ,, alter-]
of | prep | ADP | [Oceanos, or, of]
Oceanos | pobj | PROPN | [and, Aethra]
and | cc | CCONJ | []
Aethra | conj | PROPN | []
or | cc | CCONJ | []
of | conj | ADP | [Atlas]
Atlas | pobj | PROPN | [and, Pleione]
and | cc | CCONJ | []
Pleione | conj | PROPN | []
, | punct | PUNCT | []
the | det | DET | []
latter | amod | ADJ | []
alter- | appos | ADJ | [the, latter, native, making]
native | advmod | NOUN | []
making | advcl | VERB | [sisters]
them | nsubj | PRON | []
the | det | DET | []
sisters | ccomp | NOUN | [them, the, of]
of | prep | ADP | [Pleiades]
the | det | DET | []
Pleiades | pobj | PROPN | [the]
. | punct | PUNCT | []",Hyades,daughters,were
nymphs (she),repre-, was ,"the goddess of health who was either the wife or daughter of asclepios .===in art she was repre- sented as dressed in a long robe , feeding a ser- pent from a cup .===her name has given us the word hygiene .  ","In | prep | ADP | [art]
art | pobj | NOUN | []
she | nsubj | PRON | []
was | ROOT | VERB | [In, she, repre-, sented, .]
repre- | attr | ADV | []
sented | advcl | VERB | [dressed, ,, feeding]
as | mark | ADP | []
dressed | advcl | VERB | [as, in]
in | prep | ADP | [robe]
a | det | DET | []
long | amod | ADJ | []
robe | pobj | NOUN | [a, long]
, | punct | PUNCT | []
feeding | advcl | VERB | [pent, from]
a | det | DET | []
ser- | amod | NOUN | []
pent | dobj | VERB | [a, ser-]
from | prep | ADP | [cup]
a | det | DET | []
cup | pobj | NOUN | [a]
. | punct | PUNCT | []",she,repre-,was
nymph (he),repre-, was ,"patron god of marriage , being the son either of apollo and a muse or of dionysos and    168 hyperborean   aphrodite ; the personification of the wed- ding feast and of hymenaioi , hymns sung at wedding celebrations .===in art he was repre- sented as a youth carrying a bridal torch and veil .  ===hyperborean   greek  ","In | prep | ADP | [art]
art | pobj | NOUN | []
he | nsubj | PRON | []
was | ROOT | VERB | [In, he, sented, .]
repre- | npadvmod | ADV | []
sented | acomp | VERB | [repre-, as]
as | prep | ADP | [youth]
a | det | DET | []
youth | pobj | NOUN | [a, carrying]
carrying | acl | VERB | [torch]
a | det | DET | []
bridal | amod | ADJ | []
torch | dobj | NOUN | [a, bridal, and, veil]
and | cc | CCONJ | []
veil | conj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,repre-,was
nymph (she),the only one not to carry out her father ’s instructions to kill her new hus- band on their wedding night, was ,"one of the danaides , the daughters of danaus , king of argos .===when she and her 49 sisters married the 50 sons of aegyptus , hy- permnestra was the only one not to carry out her father ’s instructions to kill her new hus- band on their wedding night .===her sisters were condemned for their actions to tartarus for eternity , carrying water in sieves or bottom- less vessels .  ","When | advmod | ADV | []
she | nsubj | PRON | [and, sisters]
and | cc | CCONJ | []
her | poss | ADJ | []
49 | nummod | NUM | []
sisters | conj | NOUN | [her, 49]
married | advcl | VERB | [When, she, sons]
the | det | DET | []
50 | nummod | NUM | []
sons | dobj | NOUN | [the, 50, of]
of | prep | ADP | [Aegyptus]
Aegyptus | pobj | PROPN | []
, | punct | PUNCT | []
Hy- | compound | ADV | []
permnestra | nsubj | ADV | [Hy-]
was | ROOT | VERB | [married, ,, permnestra, one, .]
the | det | DET | []
only | amod | ADJ | []
one | attr | NUM | [the, only, carry]
not | neg | ADV | []
to | aux | PART | []
carry | relcl | VERB | [not, to, out, instructions]
out | prt | PART | []
her | poss | ADJ | []
father | poss | NOUN | [her, ’s]
’s | case | PART | []
instructions | dobj | NOUN | [father, kill]
to | aux | PART | []
kill | acl | VERB | [to, band, on]
her | poss | ADJ | []
new | amod | ADJ | []
hus- | compound | ADJ | []
band | dobj | NOUN | [her, new, hus-]
on | prep | ADP | [night]
their | poss | ADJ | []
wedding | compound | NOUN | []
night | pobj | NOUN | [their, wedding]
. | punct | PUNCT | []",she,one,was
Her direct bawdiness to Demeter,a reflection of the dirty language often associated with rites like the Eleusinian Mysteries, is ,it has been suggested that iambe forms the mythological explanation of the custom for bystanders to shout abuse at those taking part in the procession along the sacred way from athens to eleusis .===her direct bawdiness to demeter is a reflection of the dirty language often associated with rites like the eleusinian mysteries .  ===see also : demeter ; echo ; pan   iamus greek  ,"Her | poss | ADJ | []
direct | amod | ADJ | []
bawdiness | nsubj | NOUN | [Her, direct, to]
to | prep | ADP | [Demeter]
Demeter | pobj | PROPN | []
is | ROOT | VERB | [bawdiness, reflection, .]
a | det | DET | []
reflection | attr | NOUN | [a, of]
of | prep | ADP | [language]
the | det | DET | []
dirty | amod | ADJ | []
language | pobj | NOUN | [the, dirty, associated]
often | advmod | ADV | []
associated | acl | VERB | [often, with]
with | prep | ADP | [rites]
rites | pobj | NOUN | [like]
like | prep | ADP | [Mysteries]
the | det | DET | []
Eleusinian | amod | ADJ | []
Mysteries | pobj | PROPN | [the, Eleusinian]
. | punct | PUNCT | [ ]
  |  | SPACE | []",bawdiness,reflection,is
Ino,a votary of Dionysos, was ,"the ram ’s fleece turned to gold after the ram had been   sacrificed and later became the object of the quest of jason and the argonauts .  ===ino was a votary of dionysos and , in one famous incident along with agave and autonoë , killed agave ’s son , pentheus .===hera drove athamas and ino mad .","Ino | nsubj | PROPN | []
was | ROOT | VERB | [Ino, votary, and, ,, killed]
a | det | DET | []
votary | attr | NOUN | [a, of]
of | prep | ADP | [Dionysos]
Dionysos | pobj | PROPN | []
and | cc | CCONJ | []
, | punct | PUNCT | []
in | prep | ADP | [incident]
one | nummod | NUM | []
famous | amod | ADJ | []
incident | pobj | NOUN | [one, famous, along]
along | prep | ADP | [with]
with | prep | ADP | [Agave]
Agave | pobj | PROPN | [and, Autonoë]
